hybrid,parentB
SPGP0B00750,XP_018223521
SPGP0B00720,XP_018223518
SPGP0B00680,XP_018223514
SPGP0B00660,XP_018223512
SPGP0B00630,XP_018223509
SPGP0B00620,XP_018223508
SPGP0B00590,XP_018223506
SPGP0B00530,XP_018223501
SPGP0B00520,XP_018223500
SPGP0B00510,XP_018223499
SPGP0B00500,XP_018223498
SPGP0B00480,XP_018223496
SPGP0B00450,XP_018223493
SPGP0B00420,XP_018223491
SPGP0B00410,XP_018223490
SPGP0B00400,XP_018223489
SPGP0B00390,XP_018223488
SPGP0Q00780,XP_018222784
SPGP0B00310,XP_018223481
SPGP0B00280,XP_018223478
SPGP0B00260,XP_018223476
SPGP0B00250,XP_018223475
SPGP0B00230,XP_018223473
SPGP0B00210,XP_018223471
SPGP0Ltrna8F,DI49_5486
SPGP0B00170,XP_018223467
SPGP0B00160,XP_018223466
SPGP0B00150,XP_018223465
SPGP0Itrna19A,DI49_5601
SPGP0CStrna7L,DI49_1927
SPGP0DM00100,XP_018222488
SPGP0DN00100,XP_018220411
SPGP0AL00660,XP_018219927
SPGP0AL00650,XP_018219926
SPGP0AL00640,XP_018219925
SPGP0AL00610,XP_018219922
SPGP0AL00590,XP_018219921
SPGP0AL00570,XP_018219919
SPGP0AL00540,XP_018219916
SPGP0AL00490,XP_018219911
SPGP0AL00430,XP_018219905
SPGP0AL00410,XP_018219903
SPGP0AL00370,XP_018219899
SPGP0AL00360,XP_018219898
SPGP0AL00320,XP_018219895
SPGP0AL00270,XP_018219891
SPGP0AL00260,XP_018219890
SPGP0AL00240,XP_018219888
SPGP0AL00230,XP_018219887
SPGP0AL00200,XP_018219884
SPGP0AL00190,XP_018219883
SPGP0AL00180,XP_018219882
SPGP0AL00120,XP_018219876
SPGP0COtrna9N,DI49_5581
SPGP0COtrna10P,DI49_4736
SPGP0AX00250,XP_018219873
SPGP0AX00230,XP_018219871
SPGP0AX00220,XP_018219870
SPGP0AX00210,XP_018219869
SPGP0AX00180,XP_018219866
SPGP0AX00160,XP_018219864
SPGP0AX00150,XP_018219863
SPGP0AX00140,XP_018219862
SPGP0AX00120,XP_018219861
SPGP0AX00100,XP_018219859
SPGP0BB00100,XP_018219844
SPGP0BB00110,XP_018219845
SPGP0B01200,XP_018223567
SPGP0BB00140,XP_018219848
SPGP0BB00180,XP_018219852
SPGP0BB00190,XP_018219853
SPGP0BB00200,XP_018219854
SPGP0BB00220,XP_018219856
SPGP0Ftrna20P,DI49_4051
SPGP0S00190,XP_018219831
SPGP0S00220,XP_018219829
SPGP0S00260,XP_018219825
SPGP0S00270,XP_018219824
SPGP0S00280,XP_018219823
SPGP0S00320,XP_018219819
SPGP0S00330,XP_018219818
SPGP0S00360,XP_018219815
SPGP0S00370,XP_018219814
SPGP0S00380,XP_018219813
SPGP0S00400,XP_018219811
SPGP0S00430,XP_018219808
SPGP0S00450,XP_018219806
SPGP0S00460,XP_018219805
SPGP0S00470,XP_018219804
SPGP0S00510,XP_018219800
SPGP0S00530,XP_018219798
SPGP0S00550,XP_018219796
SPGP0S00560,XP_018219795
SPGP0S00570,XP_018219794
SPGP0S00580,XP_018219793
SPGP0S00590,XP_018219792
SPGP0S00600,XP_018219791
SPGP0S00610,XP_018219790
SPGP0S00640,XP_018219787
SPGP0S00660,XP_018219785
SPGP0S00690,XP_018219782
SPGP0S00700,XP_018219781
SPGP0S00710,XP_018219780
SPGP0S00760,XP_018219775
SPGP0S00770,XP_018219774
SPGP0H01430,XP_018219328
SPGP0S00800,XP_018219771
SPGP0S00830,XP_018219768
SPGP0S00840,XP_018219767
SPGP0S00880,XP_018219764
SPGP0S00890,XP_018219763
SPGP0S00900,XP_018219762
SPGP0S00930,XP_018219759
SPGP0S00940,XP_018219758
SPGP0S00950,XP_018219757
SPGP0S00970,XP_018219755
SPGP0S00980,XP_018219754
SPGP0S00990,XP_018219753
SPGP0S01020,XP_018219750
SPGP0S01030,XP_018219749
SPGP0Btrna2F,DI49_0495
SPGP0S01060,XP_018219746
SPGP0S01070,XP_018219745
SPGP0S01080,XP_018219744
SPGP0S01090,XP_018219743
SPGP0S01130,XP_018219739
SPGP0I03240,XP_018223020
SPGP0S01230,XP_018219729
SPGP0S01260,XP_018219726
SPGP0S01290,XP_018219723
SPGP0S01310,XP_018219721
SPGP0S01330,XP_018219719
SPGP0S01340,XP_018219718
SPGP0S01390,XP_018219713
SPGP0S01400,XP_018219712
SPGP0S01420,XP_018219710
SPGP0S01450,XP_018219707
SPGP0S01460,XP_018219706
SPGP0S01480,XP_018219704
SPGP0S01490,XP_018219703
SPGP0S01500,XP_018219702
SPGP0S01510,XP_018219701
SPGP0S01530,XP_018219699
SPGP0S01540,XP_018219698
SPGP0S01550,XP_018219697
SPGP0S01560,XP_018219696
SPGP0S01570,XP_018219695
SPGP0S01650,XP_018219687
SPGP0S01660,XP_018219686
SPGP0S01680,XP_018219684
SPGP0S01690,XP_018219683
SPGP0S01710,XP_018219681
SPGP0S01740,XP_018219678
SPGP0S01780,XP_018219674
SPGP0S01800,XP_018219672
SPGP0S01820,XP_018219670
SPGP0S01840,XP_018219668
SPGP0S01850,XP_018219667
SPGP0S01860,XP_018219666
SPGP0S01870,XP_018219665
SPGP0S01880,XP_018219664
SPGP0S01900,XP_018219662
SPGP0S01920,XP_018219660
SPGP0S01930,XP_018219659
SPGP0S01950,XP_018219657
SPGP0S02000,XP_018219652
SPGP0S02010,XP_018219651
SPGP0S02030,XP_018219649
SPGP0S02060,XP_018219646
SPGP0S02070,XP_018219645
SPGP0S02080,XP_018219644
SPGP0S02090,XP_018219643
SPGP0S02100,XP_018219642
SPGP0S02130,XP_018219639
SPGP0S02140,XP_018219638
SPGP0S02150,XP_018219637
SPGP0S02210,XP_018219631
SPGP0S02240,XP_018219628
SPGP0S02250,XP_018219627
SPGP0S02290,XP_018219624
SPGP0S02300,XP_018219623
SPGP0S02320,XP_018219621
SPGP0S02370,XP_018219616
SPGP0S02400,XP_018219613
SPGP0S02410,XP_018219612
SPGP0Etrna44G,DI49_2297
SPGP0AR00510,XP_018219609
SPGP0AR00500,XP_018219608
SPGP0AR00490,XP_018219607
SPGP0AR00460,XP_018219604
SPGP0AR00450,XP_018219603
SPGP0AR00430,XP_018219601
SPGP0AR00410,XP_018219599
SPGP0AR00370,XP_018219596
SPGP0AR00360,XP_018219595
SPGP0AR00330,XP_018219592
SPGP0AR00290,XP_018219588
SPGP0AR00270,XP_018219586
SPGP0AR00230,XP_018219582
SPGP0AR00210,XP_018219580
SPGP0AR00200,XP_018219579
SPGP0AR00190,XP_018219578
SPGP0AR00180,XP_018219577
SPGP0AR00170,XP_018219576
SPGP0AR00140,XP_018219573
SPGP0AR00120,XP_018219571
SPGP0H03930,XP_018218753
SPGP0W01610,XP_018221605
SPGP0DV00100,XP_018220218
SPGP0L00100,XP_018219161
SPGP0L00110,XP_018219160
SPGP0L00120,XP_018219159
SPGP0L00130,XP_018219158
SPGP0L00140,XP_018219157
SPGP0L00150,XP_018219156
SPGP0L00160,XP_018219155
SPGP0L00170,XP_018219154
SPGP0L00190,XP_018219153
SPGP0L00200,XP_018219152
SPGP0L00210,XP_018219151
SPGP0L00220,XP_018219150
SPGP0L00230,XP_018219149
SPGP0L00240,XP_018219148
SPGP0L00250,XP_018219147
SPGP0L00260,XP_018219146
SPGP0L00270,XP_018219145
SPGP0L00280,XP_018219144
SPGP0L00290,XP_018219143
SPGP0L00300,XP_018219142
SPGP0L00310,XP_018219141
SPGP0L00320,XP_018219140
SPGP0L00330,XP_018219139
SPGP0L00340,XP_018219138
SPGP0L00350,XP_018219137
SPGP0L00360,XP_018219136
SPGP0L00370,XP_018219135
SPGP0L00380,XP_018219134
SPGP0L00390,XP_018219133
SPGP0L00400,XP_018219132
SPGP0L00410,XP_018219131
SPGP0L00420,XP_018219130
SPGP0L00430,XP_018219129
SPGP0L00440,XP_018219128
SPGP0L00450,XP_018219127
SPGP0Itrna24K,DI49_5564
SPGP0L00460,XP_018219126
SPGP0L00470,XP_018219125
SPGP0L00480,XP_018219124
SPGP0L00490,XP_018219123
SPGP0L00500,XP_018219122
SPGP0L00510,XP_018219121
SPGP0L00520,XP_018219120
SPGP0L00530,XP_018219119
SPGP0L00540,XP_018219118
SPGP0L00550,XP_018219117
SPGP0Etrna34T,DI49_5553
SPGP0L00560,XP_018219116
SPGP0L00570,XP_018219115
SPGP0L00580,XP_018219114
SPGP0L00590,XP_018219113
SPGP0L00600,XP_018219112
SPGP0L00610,XP_018219111
SPGP0L00620,XP_018219110
SPGP0L00640,XP_018219109
SPGP0L00650,XP_018219108
SPGP0L00660,XP_018219107
SPGP0L00670,XP_018219106
SPGP0L00680,XP_018219105
SPGP0L00690,XP_018219104
SPGP0L00700,XP_018219103
SPGP0L00710,XP_018219102
SPGP0L00720,XP_018219101
SPGP0L00730,XP_018219100
SPGP0L00740,XP_018219099
SPGP0L00750,XP_018219098
SPGP0L00760,XP_018219097
SPGP0L00770,XP_018219096
SPGP0L00780,XP_018219095
SPGP0L00800,XP_018219093
SPGP0L00810,XP_018219092
SPGP0L00820,XP_018219091
SPGP0L00840,XP_018219089
SPGP0L00850,XP_018219088
SPGP0Itrna28S,DI49_5523
SPGP0L00870,XP_018219087
SPGP0L00880,XP_018219086
SPGP0L00890,XP_018219085
SPGP0L00900,XP_018219084
SPGP0L00910,XP_018219083
SPGP0L00920,XP_018219082
SPGP0L00950,XP_018219080
SPGP0L00960,XP_018219079
SPGP0L00970,XP_018219078
SPGP0L00980,XP_018219077
SPGP0L00990,XP_018219076
SPGP0L01000,XP_018219075
SPGP0L01010,XP_018219074
SPGP0L01020,XP_018219073
SPGP0L01030,XP_018219072
SPGP0L01040,XP_018219071
SPGP0L01050,XP_018219070
SPGP0L01060,XP_018219069
SPGP0L01070,XP_018219068
SPGP0L01080,XP_018219067
SPGP0L01090,XP_018219066
SPGP0L01100,XP_018219065
SPGP0L01110,XP_018219064
SPGP0L01120,XP_018219063
SPGP0L01130,XP_018219062
SPGP0L01140,XP_018219061
SPGP0L01150,XP_018219060
SPGP0L01160,XP_018219059
SPGP0L01170,XP_018219058
SPGP0L01180,XP_018219057
SPGP0L01190,XP_018219056
SPGP0L01200,XP_018219055
SPGP0L01210,XP_018219054
SPGP0L01220,XP_018219053
SPGP0L01230,XP_018219052
SPGP0L01250,XP_018219051
SPGP0L01260,XP_018219050
SPGP0L01270,XP_018219049
SPGP0L01280,XP_018219048
SPGP0L01290,XP_018219047
SPGP0L01300,XP_018219046
SPGP0L01310,XP_018219045
SPGP0L01320,XP_018219044
SPGP0L01330,XP_018219043
SPGP0L01340,XP_018219042
SPGP0L01350,XP_018219041
SPGP0L01360,XP_018219040
SPGP0L01370,XP_018219039
SPGP0L01380,XP_018219038
SPGP0L01390,XP_018219037
SPGP0L01400,XP_018219036
SPGP0L01410,XP_018219035
SPGP0CBtrna33K,DI49_5468
SPGP0L01420,XP_018219034
SPGP0L01430,XP_018219033
SPGP0L01440,XP_018219032
SPGP0L01450,XP_018219031
SPGP0L01460,XP_018219030
SPGP0L01470,XP_018219029
SPGP0L01480,XP_018219028
SPGP0L01490,XP_018219027
SPGP0L01510,XP_018219025
SPGP0L01520,XP_018219024
SPGP0L01530,XP_018219023
SPGP0L01540,XP_018219022
SPGP0L01550,XP_018219021
SPGP0L01560,XP_018219020
SPGP0L01570,XP_018219019
SPGP0L01580,XP_018219018
SPGP0L01590,XP_018219017
SPGP0L01600,XP_018219016
SPGP0L01610,XP_018219015
SPGP0L01620,XP_018219014
SPGP0L01630,XP_018219013
SPGP0L01640,XP_018219012
SPGP0L01650,XP_018219011
SPGP0L01660,XP_018219010
SPGP0L01680,XP_018219009
SPGP0L01690,XP_018219008
SPGP0L01700,XP_018219007
SPGP0L01710,XP_018219006
SPGP0L01720,XP_018219005
SPGP0L01730,XP_018219004
SPGP0L01740,XP_018219003
SPGP0L01750,XP_018219002
SPGP0L01760,XP_018219001
SPGP0L01770,XP_018219000
SPGP0L01780,XP_018218999
SPGP0L01790,XP_018218998
SPGP0L01800,XP_018218997
SPGP0L01810,XP_018218996
SPGP0L01820,XP_018218995
SPGP0L01830,XP_018218994
SPGP0L01840,XP_018218993
SPGP0L01850,XP_018218992
SPGP0L01860,XP_018218991
SPGP0L01870,XP_018218990
SPGP0L01880,XP_018218989
SPGP0L01890,XP_018218988
SPGP0L01900,XP_018218987
SPGP0L01910,XP_018218986
SPGP0L01920,XP_018218985
SPGP0L01930,XP_018218984
SPGP0L01940,XP_018218983
SPGP0L01950,XP_018218982
SPGP0L01960,XP_018218981
SPGP0L01970,XP_018218980
SPGP0L01980,XP_018218979
SPGP0L01990,XP_018218978
SPGP0L02000,XP_018218977
SPGP0L02020,XP_018218976
SPGP0L02030,XP_018218975
SPGP0L02040,XP_018218974
SPGP0L02050,XP_018218973
SPGP0L02060,XP_018218972
SPGP0L02070,XP_018218971
SPGP0Itrna5C,DI49_5400
SPGP0L02080,XP_018218970
SPGP0L02100,XP_018218968
SPGP0L02110,XP_018218967
SPGP0L02120,XP_018218966
SPGP0L02130,XP_018218965
SPGP0L02140,XP_018218964
SPGP0L02150,XP_018218963
SPGP0L02160,XP_018218962
SPGP0L02170,XP_018218961
SPGP0L02180,XP_018218960
SPGP0L02190,XP_018218959
SPGP0L02200,XP_018218958
SPGP0L02210,XP_018218957
SPGP0L02220,XP_018218956
SPGP0L02230,XP_018218955
SPGP0L02240,XP_018218954
SPGP0L02250,XP_018218953
SPGP0L02270,XP_018218951
SPGP0L02280,XP_018218950
SPGP0L02290,XP_018218949
SPGP0L02300,XP_018218948
SPGP0L02310,XP_018218947
SPGP0L02320,XP_018218946
SPGP0L02330,XP_018218945
SPGP0L02340,XP_018218944
SPGP0L02360,XP_018218942
SPGP0L02370,XP_018218941
SPGP0L02380,XP_018218940
SPGP0L02390,XP_018218939
SPGP0L02400,XP_018218938
SPGP0L02410,XP_018218937
SPGP0L02420,XP_018218936
SPGP0L02430,XP_018218935
SPGP0L02440,XP_018218934
SPGP0L02450,XP_018218933
SPGP0L02460,XP_018218932
SPGP0L02470,XP_018218931
SPGP0L02480,XP_018218930
SPGP0L02490,XP_018218929
SPGP0L02500,XP_018218928
SPGP0L02510,XP_018218927
SPGP0L02520,XP_018218926
SPGP0L02530,XP_018218925
SPGP0L02570,XP_018218924
SPGP0L02580,XP_018218923
SPGP0Htrna18M,DI49_5351
SPGP0L02590,XP_018218922
SPGP0L02600,XP_018218921
SPGP0L02610,XP_018218920
SPGP0L02620,XP_018218919
SPGP0L02630,XP_018218918
SPGP0L02640,XP_018218917
SPGP0L02650,XP_018218916
SPGP0L02660,XP_018218915
SPGP0L02670,XP_018218914
SPGP0L02680,XP_018218913
SPGP0L02690,XP_018218912
SPGP0L02700,XP_018218911
SPGP0L02710,XP_018218910
SPGP0L02720,XP_018218909
SPGP0L02730,XP_018218908
SPGP0L02740,XP_018218907
SPGP0AA01180,XP_018218906
SPGP0L02760,XP_018218905
SPGP0L02770,XP_018218904
SPGP0L02780,XP_018218903
SPGP0L02790,XP_018218902
SPGP0L02800,XP_018218901
SPGP0L02810,XP_018218900
SPGP0L02820,XP_018218899
SPGP0L02830,XP_018218898
SPGP0L02840,XP_018218897
SPGP0L02850,XP_018218896
SPGP0L02860,XP_018218895
SPGP0AA01060,XP_018218894
SPGP0L02880,XP_018218893
SPGP0L02890,XP_018218892
SPGP0L02900,XP_018218891
SPGP0L02910,XP_018218890
SPGP0L02920,XP_018218889
SPGP0L02930,XP_018218888
SPGP0L02940,XP_018218887
SPGP0L02950,XP_018218886
SPGP0L02960,XP_018218885
SPGP0L02970,XP_018218884
SPGP0L02980,XP_018218883
SPGP0L02990,XP_018218882
SPGP0L03000,XP_018218881
SPGP0L03010,XP_018218880
SPGP0L03020,XP_018218879
SPGP0L03030,XP_018218878
SPGP0L03040,XP_018218877
SPGP0L03050,XP_018218876
SPGP0L03060,XP_018218875
SPGP0L03070,XP_018218874
SPGP0L03080,XP_018218873
SPGP0L03090,XP_018218872
SPGP0L03100,XP_018218871
SPGP0L03110,XP_018218870
SPGP0L03120,XP_018218869
SPGP0L03130,XP_018218868
SPGP0L03140,XP_018218867
SPGP0L03150,XP_018218866
SPGP0L03160,XP_018218865
SPGP0L03180,XP_018218864
SPGP0L03190,XP_018218863
SPGP0L03200,XP_018218862
SPGP0L03210,XP_018218861
SPGP0L03220,XP_018218860
SPGP0L03230,XP_018218859
SPGP0L03240,XP_018218858
SPGP0L03250,XP_018218857
SPGP0L03260,XP_018218856
SPGP0L03270,XP_018218855
SPGP0L03280,XP_018218854
SPGP0L03290,XP_018218853
SPGP0L03300,XP_018218852
SPGP0L03310,XP_018218851
SPGP0L03320,XP_018218850
SPGP0L03330,XP_018218849
SPGP0L03340,XP_018218848
SPGP0L03350,XP_018218847
SPGP0L03360,XP_018218846
SPGP0L03370,XP_018218845
SPGP0L03380,XP_018218844
SPGP0L03400,XP_018218843
SPGP0L03420,XP_018218841
SPGP0L03430,XP_018218840
SPGP0L03440,XP_018218839
SPGP0L03450,XP_018218838
SPGP0L03460,XP_018218837
SPGP0L03470,XP_018218836
SPGP0L03480,XP_018218835
SPGP0L03490,XP_018218834
SPGP0L03500,XP_018218833
SPGP0L03510,XP_018218832
SPGP0L03520,XP_018218831
SPGP0L03530,XP_018218830
SPGP0L03540,XP_018218829
SPGP0L03550,XP_018218828
SPGP0L03560,XP_018218827
SPGP0L03570,XP_018218826
SPGP0L03580,XP_018218825
SPGP0L03590,XP_018218824
SPGP0L03610,XP_018218823
SPGP0L03620,XP_018218822
SPGP0L03630,XP_018218821
SPGP0L03640,XP_018218819
SPGP0L03650,XP_018218818
SPGP0L03660,XP_018218817
SPGP0L03670,XP_018218816
SPGP0L03680,XP_018218815
SPGP0L03690,XP_018218814
SPGP0L03700,XP_018218813
SPGP0L03710,XP_018218812
SPGP0L03720,XP_018218811
SPGP0L03730,XP_018218810
SPGP0L03740,XP_018218809
SPGP0L03750,XP_018218808
SPGP0L03760,XP_018218807
SPGP0L03770,XP_018218806
SPGP0L03780,XP_018218805
SPGP0L03790,XP_018218804
SPGP0L03800,XP_018218803
SPGP0AA00100,XP_018218800
SPGP0C01910,XP_018220559
SPGP0EI00100,XP_018223431
SPGP0M00100,XP_018221137
SPGP0M00110,XP_018221138
SPGP0M00120,XP_018221139
SPGP0M00130,XP_018221140
SPGP0M00140,XP_018221141
SPGP0M00170,XP_018221142
SPGP0M00180,XP_018221143
SPGP0M00190,XP_018221144
SPGP0M00200,XP_018221145
SPGP0M00210,XP_018221146
SPGP0M00220,XP_018221147
SPGP0M00230,XP_018221148
SPGP0M00240,XP_018221149
SPGP0M00250,XP_018221150
SPGP0M00260,XP_018221151
SPGP0M00270,XP_018221152
SPGP0M00280,XP_018221153
SPGP0M00290,XP_018221154
SPGP0M00300,XP_018221155
SPGP0M00310,XP_018221156
SPGP0M00320,XP_018221157
SPGP0M00330,XP_018221158
SPGP0M00340,XP_018221159
SPGP0M00350,XP_018221160
SPGP0M00360,XP_018221161
SPGP0M00370,XP_018221162
SPGP0M00380,XP_018221163
SPGP0M00390,XP_018221164
SPGP0M00400,XP_018221165
SPGP0M00410,XP_018221166
SPGP0M00420,XP_018221167
SPGP0M00430,XP_018221168
SPGP0M00440,XP_018221169
SPGP0M00450,XP_018221170
SPGP0M00460,XP_018221171
SPGP0M00470,XP_018221172
SPGP0M00480,XP_018221173
SPGP0M00490,XP_018221174
SPGP0M00500,XP_018221175
SPGP0M00510,XP_018221176
SPGP0M00520,XP_018221177
SPGP0M00530,XP_018221178
SPGP0M00540,XP_018221179
SPGP0M00560,XP_018221180
SPGP0M00570,XP_018221181
SPGP0M00580,XP_018221182
SPGP0M00590,XP_018221183
SPGP0M00600,XP_018221184
SPGP0M00610,XP_018221185
SPGP0M00620,XP_018221186
SPGP0M00630,XP_018221187
SPGP0M00640,XP_018221188
SPGP0M00650,XP_018221189
SPGP0M00660,XP_018221190
SPGP0M00670,XP_018221191
SPGP0M00680,XP_018221192
SPGP0M00690,XP_018221193
SPGP0M00700,XP_018221194
SPGP0M00710,XP_018221195
SPGP0M00720,XP_018221196
SPGP0P00540,XP_018221090
SPGP0M00740,XP_018221198
SPGP0P00560,XP_018221088
SPGP0M00760,XP_018221199
SPGP0M00770,XP_018221200
SPGP0M00780,XP_018221201
SPGP0M00800,XP_018221202
SPGP0M00810,XP_018221203
SPGP0M00820,XP_018221204
SPGP0M00830,XP_018221205
SPGP0M00840,XP_018221206
SPGP0M00850,XP_018221207
SPGP0M00860,XP_018221208
SPGP0M00870,XP_018221209
SPGP0M00880,XP_018221210
SPGP0M00900,XP_018221211
SPGP0M00910,XP_018221212
SPGP0M00930,XP_018221213
SPGP0M00940,XP_018221214
SPGP0M00950,XP_018221215
SPGP0F02570,XP_018221216
SPGP0M00970,XP_018221217
SPGP0M00980,XP_018221218
SPGP0M00990,XP_018221219
SPGP0M01000,XP_018221220
SPGP0M01010,XP_018221221
SPGP0M01020,XP_018221222
SPGP0M01030,XP_018221223
SPGP0M01040,XP_018221224
SPGP0M01050,XP_018221225
SPGP0M01060,XP_018221226
SPGP0Ntrna10R,DI49_2918
SPGP0M01070,XP_018221227
SPGP0M01080,XP_018221228
SPGP0M01090,XP_018221229
SPGP0M01100,XP_018221230
SPGP0M01110,XP_018221231
SPGP0M01120,XP_018221232
SPGP0M01130,XP_018221233
SPGP0M01140,XP_018221234
SPGP0M01150,XP_018221235
SPGP0M01160,XP_018221236
SPGP0M01170,XP_018221237
SPGP0M01180,XP_018221238
SPGP0M01190,XP_018221239
SPGP0M01200,XP_018221240
SPGP0M01210,XP_018221241
SPGP0M01220,XP_018221242
SPGP0M01240,XP_018221243
SPGP0M01250,XP_018221244
SPGP0M01260,XP_018221245
SPGP0M01270,XP_018221246
SPGP0M01280,XP_018221247
SPGP0M01290,XP_018221248
SPGP0M01300,XP_018221249
SPGP0M01310,XP_018221250
SPGP0M01320,XP_018221251
SPGP0M01330,XP_018221252
SPGP0M01340,XP_018221253
