hybrid,parentA
SPGP0J02910,YBL004W
SPGP0J02920,YBL005W
SPGP0J02930,YBL006C
SPGP0J02940,YBL007C
SPGP0J02950,YBL008W
SPGP0J02960,YBL009W
SPGP0J02970,YBL010C
SPGP0J02980,YBL011W
SPGP0J02990,YBL013W
SPGP0J03000,YBL014C
SPGP0Gtrna40G,YPR159C-A
SPGP0Etrna28I,YNL017C
SPGP0J03010,YBL015W
SPGP0J03020,YBL016W
SPGP0J03030,YBL017C
SPGP0J03040,YBL018C
SPGP0J03050,YBL019W
SPGP0J03060,YBL020W
SPGP0J03070,YBL021C
SPGP0J03080,YBL022C
SPGP0J03090,YBL023C
SPGP0J03100,YBL024W
SPGP0J03110,YBL025W
SPGP0B00900,YBL026W
SPGP0J03140,YBL028C
SPGP0J03150,YBL029W
SPGP0J03160,YBL029C-A
SPGP0J03170,YBL030C
SPGP0J03180,YBL031W
SPGP0J03190,YBL032W
SPGP0J03200,YBL033C
SPGP0J03210,YBL034C
SPGP0J03220,YBL035C
SPGP0J03230,YBL036C
SPGP0J03240,YBL037W
SPGP0J03250,YBL038W
SPGP0J03260,YBL039C
SPGP0J03270,YBL039W-B
SPGP0J03280,YBL040C
SPGP0J03290,YBL041W
SPGP0J03300,YBL042C
SPGP0J03310,YBL043W
SPGP0J03320,YBL045C
SPGP0J03330,YBL046W
SPGP0J03340,YBL047C
SPGP0J03350,YBL049W
SPGP0J03360,YBL050W
SPGP0J03370,YBL051C
SPGP0J03380,YBL052C
SPGP0J03390,YBL054W
SPGP0J03400,YBL055C
SPGP0J03410,YBL056W
SPGP0J03420,YBL057C
SPGP0J03430,YBL058W
SPGP0J03440,YBL059W
SPGP0J03450,YBL059C-A
SPGP0J03460,YBL060W
SPGP0J03470,YBL061C
SPGP0J03480,YBL063W
SPGP0J03490,YBL064C
SPGP0J03500,YBL066C
SPGP0J03510,YBL067C
SPGP0J03520,YBL068W
SPGP0J03530,YBL069W
SPGP0J03540,YBL071W-A
SPGP0J03550,YBL072C
SPGP0J03560,YBL074C
SPGP0J03570,YBL075C
SPGP0J03580,YBL076C
SPGP0J03590,YBL078C
SPGP0J03600,YBL079W
SPGP0J03610,YBL080C
SPGP0J03620,YBL081W
SPGP0J03630,YBL082C
SPGP0J03640,YBL084C
SPGP0J03650,YBL085W
SPGP0J03660,YBL086C
SPGP0J03670,YBL087C
SPGP0J03680,YBL088C
SPGP0J03690,YBL089W
SPGP0J03700,YBL090W
SPGP0J03710,YBL091C
SPGP0J03720,YBL091C-A
SPGP0J03730,YBL092W
SPGP0J03740,YBL093C
SPGP0J03750,YBL095W
SPGP0J03760,YBL097W
SPGP0J03770,YBL098W
SPGP0J03780,YBL099W
SPGP0J03790,YBL101C
SPGP0J03800,YBL102W
SPGP0J03810,YBL103C
SPGP0J03820,YBL104C
SPGP0J03830,YBL105C
SPGP0J03840,YBL106C
SPGP0J03850,YBL107C
SPGP0DJ00100,YCR061W
SPGP0K00100,YNR075W
SPGP0K00110,YNR074C
SPGP0K00130,YNR071C
SPGP0K00140,YNR070W
SPGP0K00150,YNR069C
SPGP0K00160,YNR068C
SPGP0K00170,YNR067C
SPGP0K00180,YNR066C
SPGP0K00190,YNR065C
SPGP0K00200,YNR064C
SPGP0K00210,YNR063W
SPGP0K00230,YNR061C
SPGP0K00240,YNR060W
SPGP0K00250,YNR059W
SPGP0K00260,YNR058W
SPGP0AL00660,YNR057C
SPGP0K00280,YNR056C
SPGP0K00290,YNR055C
SPGP0K00300,YNR054C
SPGP0K00310,YNR053C
SPGP0K00320,YNR052C
SPGP0K00330,YNR051C
SPGP0K00340,YNR050C
SPGP0K00350,YNR049C
SPGP0K00360,YNR048W
SPGP0K00370,YNR047W
SPGP0K00380,YNR046W
SPGP0K00390,YNR045W
SPGP0K00400,YNR044W
SPGP0K00410,YNR043W
SPGP0K00420,YNR041C
SPGP0K00430,YNR040W
SPGP0K00440,YNR039C
SPGP0K00450,YNR038W
SPGP0K00460,YNR037C
SPGP0K00470,YNR036C
SPGP0K00480,YNR035C
SPGP0K00490,YNR034W-A
SPGP0K00500,YNR034W
SPGP0K00510,YNR032W
SPGP0K00520,YNR031C
SPGP0K00530,YNR030W
SPGP0K00540,YNR029C
SPGP0K00550,YNR028W
SPGP0K00560,YNR027W
SPGP0K00570,YNR026C
SPGP0K00580,YNR024W
SPGP0K00590,YNR023W
SPGP0K00600,YNR022C
SPGP0K00610,YNR021W
SPGP0K00620,YNR020C
SPGP0K00630,YNR019W
SPGP0K00640,YNR018W
SPGP0K00650,YNR017W
SPGP0K00660,YNR016C
SPGP0K00670,YNR015W
SPGP0K00680,YNR014W
SPGP0K00690,YNR013C
SPGP0K00700,YNR012W
SPGP0K00710,YNR011C
SPGP0K00720,YNR010W
SPGP0K00730,YNR009W
SPGP0K00740,YNR008W
SPGP0K00750,YNR007C
SPGP0K00760,YNR006W
SPGP0K00770,YNR004W
SPGP0K00780,YNR002C
SPGP0K00790,YNR001C
SPGP0K00800,YNL001W
SPGP0K00810,YNL002C
SPGP0K00820,YNL003C
SPGP0K00830,YNL004W
SPGP0K00840,YNL005C
SPGP0K00850,YNL006W
SPGP0K00860,YNL007C
SPGP0K00870,YNL008C
SPGP0K00880,YNL009W
SPGP0K00890,YNL010W
SPGP0K00900,YNL011C
SPGP0K00910,YNL012W
SPGP0K00920,YNL014W
SPGP0K00930,YNL015W
SPGP0K00940,YNL016W
SPGP0K00950,YNL034W
SPGP0K00960,YNL032W
SPGP0K00970,YNL031C
SPGP0K00980,YNL030W
SPGP0K00990,YNL029C
SPGP0K01000,YNL027W
SPGP0K01010,YNL026W
SPGP0K01020,YNL025C
SPGP0K01030,YNL024C-A
SPGP0K01040,YNL024C
SPGP0K01050,YNL023C
SPGP0K01060,YNL022C
SPGP0K01070,YNL021W
SPGP0K01080,YNL020C
SPGP0K01100,YNL035C
SPGP0Dtrna16P,YOL013W-A
SPGP0K01110,YNL036W
SPGP0K01120,YNL037C
SPGP0K01130,YNL038W
SPGP0K01140,YNL039W
SPGP0K01150,YNL040W
SPGP0K01160,YNL041C
SPGP0K01170,YNL042W
SPGP0K01180,YNL044W
SPGP0K01190,YNL045W
SPGP0K01200,YNL046W
SPGP0K01210,YNL047C
SPGP0K01220,YNL048W
SPGP0K01230,YNL049C
SPGP0K01240,YNL050C
SPGP0K01250,YNL051W
SPGP0K01260,YNL052W
SPGP0K01270,YNL053W
SPGP0K01280,YNL054W
SPGP0K01290,YNL055C
SPGP0K01300,YNL056W
SPGP0K01310,YNL058C
SPGP0K01320,YNL059C
SPGP0K01330,YNL061W
SPGP0K01340,YNL062C
SPGP0K01350,YNL063W
SPGP0S00400,YNL064C
SPGP0K01370,YNL065W
SPGP0K01380,YNL066W
SPGP0K01390,YNL067W
SPGP0K01400,YNL068C
SPGP0K01410,YNL069C
SPGP0K01420,YNL070W
SPGP0K01430,YNL071W
SPGP0K01440,YNL072W
SPGP0K01450,YNL073W
SPGP0K01460,YNL074C
SPGP0K01470,YNL075W
SPGP0K01480,YNL076W
SPGP0K01490,YNL077W
SPGP0K01500,YNL078W
SPGP0K01510,YNL079C
SPGP0K01520,YNL080C
SPGP0K01530,YNL081C
SPGP0K01540,YNL082W
SPGP0K01550,YNL083W
SPGP0K01560,YNL084C
SPGP0K01570,YNL085W
SPGP0K01580,YNL086W
SPGP0K01590,YNL087W
SPGP0K01600,YNL088W
SPGP0K01610,YNL091W
SPGP0K01620,YNL092W
SPGP0K01630,YNL093W
SPGP0K01640,YNL094W
SPGP0K01650,YNL095C
SPGP0K01660,YNL096C
SPGP0S00720,YNL097C
SPGP0K01680,YNL099C
SPGP0K01690,YNL100W
SPGP0K01700,YNL101W
SPGP0K01710,YNL102W
SPGP0K01720,YNL103W
SPGP0K01730,YNL104C
SPGP0K01740,YNL106C
SPGP0K01750,YNL107W
SPGP0K01760,YNL108C
SPGP0K01770,YNL110C
SPGP0K01780,YNL111C
SPGP0K01790,YNL112W
SPGP0K01800,YNL113W
SPGP0K01810,YNL115C
SPGP0K01820,YNL116W
SPGP0K01830,YNL117W
SPGP0K01840,YNL118C
SPGP0K01850,YNL119W
SPGP0K01860,YNL121C
SPGP0K01870,YNL122C
SPGP0K01880,YNL123W
SPGP0K01890,YNL124W
SPGP0K01900,YNL125C
SPGP0K01910,YNL126W
SPGP0K01920,YNL127W
SPGP0K01930,YNL128W
SPGP0K01940,YNL129W
SPGP0K01950,YNL130C
SPGP0K01960,YNL131W
SPGP0K01970,YNL132W
SPGP0K01980,YNL133C
SPGP0K01990,YNL134C
SPGP0K02000,YNL135C
SPGP0K02010,YNL136W
SPGP0K02020,YNL137C
SPGP0K02030,YNL138W
SPGP0K02040,YNL138W-A
SPGP0K02050,YNL139C
SPGP0K02060,YNL141W
SPGP0K02070,YNL142W
SPGP0K02080,YNL144C
SPGP0K02090,YNL145W
SPGP0K02100,YNL146W
SPGP0K02110,YNL147W
SPGP0K02120,YNL148C
SPGP0K02130,YNL149C
SPGP0K02140,YNL151C
SPGP0K02150,YNL152W
SPGP0K02160,YNL153C
SPGP0K02170,YNL154C
SPGP0K02180,YNL155W
SPGP0K02190,YNL156C
SPGP0K02200,YNL157W
SPGP0K02210,YNL158W
SPGP0K02220,YNL159C
SPGP0K02230,YNL160W
SPGP0K02240,YNL161W
SPGP0K02250,YNL162W
SPGP0K02260,YNL162W-A
SPGP0K02270,YNL163C
SPGP0K02280,YNL164C
SPGP0K02290,YNL165W
SPGP0K02300,YNL166C
SPGP0K02310,YNL167C
SPGP0K02320,YNL168C
SPGP0K02330,YNL169C
SPGP0K02340,YNL172W
SPGP0K02350,YNL173C
SPGP0K02360,YNL175C
SPGP0K02370,YNL176C
SPGP0K02380,YNL177C
SPGP0K02390,YNL178W
SPGP0K02400,YNL180C
SPGP0K02410,YNL181W
SPGP0K02420,YNL182C
SPGP0K02430,YNL183C
SPGP0K02440,YNL185C
SPGP0K02450,YNL186W
SPGP0K02460,YNL187W
SPGP0K02470,YNL188W
SPGP0K02480,YNL189W
SPGP0K02490,YNL190W
SPGP0K02500,YNL191W
SPGP0K02510,YNL192W
SPGP0K02520,YNL193W
SPGP0K02530,YNL194C
SPGP0K02540,YNL195C
SPGP0K02550,YNL196C
SPGP0K02560,YNL197C
SPGP0K02570,YNL199C
SPGP0K02580,YNL200C
SPGP0K02590,YNL201C
SPGP0K02600,YNL202W
SPGP0K02610,YNL204C
SPGP0K02620,YNL206C
SPGP0K02630,YNL207W
SPGP0K02640,YNL208W
SPGP0K02650,YNL209W
SPGP0K02660,YNL210W
SPGP0K02670,YNL211C
SPGP0K02680,YNL212W
SPGP0K02690,YNL213C
SPGP0K02700,YNL214W
SPGP0K02710,YNL215W
SPGP0K02720,YNL216W
SPGP0K02730,YNL217W
SPGP0K02740,YNL218W
SPGP0K02750,YNL219C
SPGP0K02760,YNL220W
SPGP0K02770,YNL221C
SPGP0K02780,YNL222W
SPGP0K02790,YNL223W
SPGP0K02800,YNL224C
SPGP0K02810,YNL225C
SPGP0K02820,YNL227C
SPGP0K02830,YNL229C
SPGP0K02840,YNL230C
SPGP0K02850,YNL231C
SPGP0K02860,YNL232W
SPGP0K02870,YNL233W
SPGP0K02880,YNL234W
SPGP0K02890,YNL236W
SPGP0K02900,YNL237W
SPGP0K02910,YNL238W
SPGP0K02920,YNL239W
SPGP0K02930,YNL240C
SPGP0K02940,YNL241C
SPGP0K02950,YNL242W
SPGP0K02960,YNL243W
SPGP0K02970,YNL244C
SPGP0K02980,YNL245C
SPGP0K02990,YNL246W
SPGP0K03000,YNL247W
SPGP0K03010,YNL248C
SPGP0K03020,YNL249C
SPGP0K03030,YNL250W
SPGP0K03040,YNL251C
SPGP0K03050,YNL252C
SPGP0K03060,YNL253W
SPGP0K03070,YNL254C
SPGP0K03080,YNL255C
SPGP0K03090,YNL256W
SPGP0K03100,YNL257C
SPGP0K03110,YNL258C
SPGP0K03120,YNL259C
SPGP0K03130,YNL260C
SPGP0K03140,YNL261W
SPGP0K03150,YNL262W
SPGP0K03160,YNL263C
SPGP0K03170,YNL264C
SPGP0K03180,YNL265C
SPGP0K03190,YNL267W
SPGP0K03200,YNL268W
SPGP0K03210,YNL270C
SPGP0K03220,YNL271C
SPGP0K03230,YNL272C
SPGP0K03240,YNL273W
SPGP0K03250,YNL274C
SPGP0K03260,YNL275W
SPGP0K03270,YNL277W
SPGP0K03280,YNL278W
SPGP0K03290,YNL279W
SPGP0K03300,YNL280C
SPGP0K03310,YNL281W
SPGP0K03320,YNL282W
SPGP0K03330,YNL283C
SPGP0K03340,YNL284C
SPGP0Etrna44G,YNL285W
SPGP0K03350,YNL286W
SPGP0K03360,YNL287W
SPGP0K03370,YNL288W
SPGP0K03380,YNL289W
SPGP0K03390,YNL290W
SPGP0K03400,YNL291C
SPGP0K03410,YNL292W
SPGP0K03420,YNL293W
SPGP0K03430,YNL294C
SPGP0K03440,YNL295W
SPGP0K03450,YNL297C
SPGP0K03460,YNL298W
SPGP0K03470,YNL299W
SPGP0K03480,YNL300W
SPGP0D04220,YOL120C
SPGP0K03500,YNL302C
SPGP0K03510,YNL304W
SPGP0K03520,YNL305C
SPGP0K03530,YNL306W
SPGP0K03540,YNL307C
SPGP0K03550,YNL308C
SPGP0K03560,YNL309W
SPGP0K03570,YNL310C
SPGP0K03580,YNL311C
SPGP0AR00280,YNL312W
SPGP0K03600,YNL313C
SPGP0K03610,YNL314W
SPGP0K03620,YNL315C
SPGP0K03630,YNL316C
SPGP0K03640,YNL317W
SPGP0K03650,YNL318C
SPGP0K03660,YNL320W
SPGP0K03670,YNL321W
SPGP0K03680,YNL322C
SPGP0K03690,YNL323W
SPGP0K03700,YNL325C
SPGP0K03710,YNL326C
SPGP0K03720,YNL327W
SPGP0K03730,YNL328C
SPGP0K03740,YNL329C
SPGP0K03750,YNL330C
SPGP0K03760,YNL331C
SPGP0K03770,YNL332W
SPGP0K03780,YFL059W
SPGP0K03790,YNL334C
SPGP0K03800,YNL335W
SPGP0K03810,YNL336W
SPGP0A00100,YAL068C
SPGP0DS00100,YIL002C
SPGP0A05200,YDL024C
SPGP0Y00750,YGR181W
SPGP0Y00760,YGR183C
SPGP0DY00100,YPR013C
SPGP0AC01360,YPR160W
SPGP0AC01350,YPR159W
SPGP0AC01330,YPR157W
SPGP0AC01320,YPR156C
SPGP0AC01300,YPR154W
SPGP0AC01260,YPR149W
SPGP0AC01250,YPR148C
SPGP0AC01240,YPR147C
SPGP0AC01220,YPR145W
SPGP0AC01190,YPR141C
SPGP0AC01160,YPR138C
SPGP0AC01140,YPR135W
SPGP0AC01110,YPR133C
SPGP0AC01100,YPR132W
SPGP0AC01080,YPR129W
SPGP0AC01060,YPR127W
SPGP0AC01010,YPR120C
SPGP0AC00990,YPR118W
SPGP0AC00980,YPR117W
SPGP0AC00960,YPR115W
SPGP0AC00930,YPR112C
SPGP0AC00910,YPR110C
SPGP0Etrna34T,YHR180W-A
SPGP0AC00880,YPR107C
SPGP0AC00860,YPR105C
SPGP0AC00850,YPR104C
SPGP0AC00840,YPR103W
SPGP0AC00830,YPR102C
SPGP0AC00810,YPR100W
SPGP0AC00790,YPR097W
SPGP0AC00760,YPR093C
SPGP0AC00740,YPR089W
SPGP0AC00730,YPR088C
SPGP0AC00720,YPR086W
SPGP0AC00700,YPR084W
SPGP0AC00690,YPR083W
SPGP0AC00670,YPR081C
SPGP0AC00620,YPR074C
SPGP0AC00600,YPR072W
SPGP0L00870,YPR070W
SPGP0AC00570,YPR069C
SPGP0AC00540,YPR066W
SPGP0AC00510,YPR062W
SPGP0L00960,YPR061C
SPGP0AC00480,YPR058W
SPGP0AC00460,YPR056W
SPGP0AC00450,YPR055W
SPGP0AC00440,YPR054W
SPGP0AC00430,YPR052C
SPGP0AC00390,YPR047W
SPGP0AC00380,YPR046W
SPGP0AC00360,YPR043W
SPGP0AC00350,YPR042C
SPGP0AC00340,YPR041W
SPGP0AC00300,YPR036W
SPGP0AC00290,YPR035W
SPGP0AC00260,YPR032W
SPGP0AC00250,YPR031W
SPGP0AC00230,YPR029C
SPGP0AC00200,YPR026W
SPGP0AC00180,YPR024W
SPGP0AC00160,YPR022C
SPGP0L01320,YPR021C
SPGP0AC00130,YPR019W
SPGP0AC00100,YPR016C
SPGP0GK00100,YPR015C
SPGP0BE00150,YPR010C
SPGP0BE00140,YPR009W
SPGP0BE00130,YPR008W
SPGP0AN00110,YPR003C
SPGP0AN00120,YPR002W
SPGP0AN00130,YPR001W
SPGP0AN00150,YPL002C
SPGP0AN00170,YPL004C
SPGP0AN00190,YPL006W
SPGP0AN00220,YPL009C
SPGP0AN00250,YPL012W
SPGP0AN00280,YPL015C
SPGP0AN00290,YPL016W
SPGP0AN00320,YPL019C
SPGP0AN00350,YPL022W
SPGP0AN00360,YPL023C
SPGP0AN00370,YPL024W
SPGP0AN00400,YPL028W
SPGP0AN00410,YPL029W
SPGP0R01070,YGL008C
SPGP0AN00480,YPL037C
SPGP0AN00490,YPL038W
SPGP0AN00500,YPL039W
SPGP0AN00530,YPL042C
SPGP0AN00540,YPL043W
SPGP0AN00550,YPL045W
SPGP0AN00560,YPL046C
SPGP0AN00580,YPL048W
SPGP0AN00610,YPL051W
SPGP0L02060,YPL058C
SPGP0AA01750,YPL069C
SPGP0AA01740,YPL070W
SPGP0AA01710,YPL074W
SPGP0AA01700,YPL075W
SPGP0AA01660,YPL079W
SPGP0AA01640,YPL082C
SPGP0AA01600,YPL086C
SPGP0AA01550,YPL091W
SPGP0AA01540,YPL092W
SPGP0AA01530,YPL093W
SPGP0AA01520,YPL094C
SPGP0AA01410,YPL105C
SPGP0AA01400,YPL106C
SPGP0AA01370,YPL109C
SPGP0AA01360,YPL110C
SPGP0AA01350,YPL111W
SPGP0AA01340,YPL112C
SPGP0AA01330,YPL113C
SPGP0AA01320,YPL115C
SPGP0AA01310,YPL116W
SPGP0AA01290,YPL118W
SPGP0AA01240,YPL123C
SPGP0AA01220,YPL125W
SPGP0AA01210,YPL126W
SPGP0AA01170,YPL130W
SPGP0AA01160,YPL131W
SPGP0AA01150,YPL132W
SPGP0AA01140,YPL133C
SPGP0AA01130,YPL134C
SPGP0AA01090,YPL139C
SPGP0AA01070,YPL141C
SPGP0AA01060,YPL143W
SPGP0AA01040,YPL145C
SPGP0AA01030,YPL146C
SPGP0AA01020,YPL147W
SPGP0AA00990,YPL150W
SPGP0AA00960,YPL153C
SPGP0AA00950,YPL154C
SPGP0AA00890,YPL160W
SPGP0AA00870,YPL162C
SPGP0AA00850,YPL164C
SPGP0AA00820,YPL167C
SPGP0AA00800,YPL169C
SPGP0AA00770,YPL172C
SPGP0AA00740,YPL175W
SPGP0AA00710,YPL178W
SPGP0AA00700,YPL179W
SPGP0AA00650,YPL184C
SPGP0AA00620,YPL188W
SPGP0AA00590,YPL190C
SPGP0AA00580,YPL191C
SPGP0AA00550,YPL194W
SPGP0AA00540,YPL195W
SPGP0AA00530,YPL196W
