Homologs_list	parentB-like content	hybrid content	parentA-like content
SPGP0Jtrna16D; DI49_4675; SPGP0Htrna31D; SPGP0Gtrna29D; SPGP0Etrna33D; SPGP0Etrna32D; SPGP0Dtrna19D; SPGP0Ctrna7D; SPGP0Ctrna6D; SPGP0ADtrna30D; SPGP0ABtrna23D; SPGP0ABtrna22D; SPGP0Wtrna5D; SPGP0Wtrna4D; SPGP0Ttrna24D; SPGP0Atrna15D; SPGP0Strna20D; SPGP0Rtrna14D; SPGP0Rtrna13D; SPGP0Ptrna12D; SPGP0Ntrna11D; SPGP0Ntrna10D; SPGP0Ntrna9D; SPGP0Ntrna8D; SPGP0Mtrna28D; SPGP0Mtrna27D; SPGP0Mtrna26D; SPGP0Mtrna25D; SPGP0Ktrna3D; SPGP0DFtrna2D; SPGP0Utrna17D; SPGP0Btrna1D; SPGP0Ftrna21D	DI49_4675	SPGP0Jtrna16D; SPGP0Htrna31D; SPGP0Gtrna29D; SPGP0Etrna33D; SPGP0Etrna32D; SPGP0Dtrna19D; SPGP0Ctrna7D; SPGP0Ctrna6D; SPGP0ADtrna30D; SPGP0ABtrna23D; SPGP0ABtrna22D; SPGP0Wtrna5D; SPGP0Wtrna4D; SPGP0Ttrna24D; SPGP0Atrna15D; SPGP0Strna20D; SPGP0Rtrna14D; SPGP0Rtrna13D; SPGP0Ptrna12D; SPGP0Ntrna11D; SPGP0Ntrna10D; SPGP0Ntrna9D; SPGP0Ntrna8D; SPGP0Mtrna28D; SPGP0Mtrna27D; SPGP0Mtrna26D; SPGP0Mtrna25D; SPGP0Ktrna3D; SPGP0DFtrna2D; SPGP0Utrna17D; SPGP0Btrna1D; SPGP0Ftrna21D	
SPGP0Jtrna20R; SPGP0Gtrna34R; SPGP0Gtrna33R; SPGP0Ftrna27R; SPGP0Ztrna25R; SPGP0Ytrna21R; SPGP0Vtrna13R; SPGP0Atrna19R; SPGP0Rtrna17R; SPGP0Ntrna9R; SPGP0Ntrna8R; SPGP0DFtrna3R; DI49_4323; SPGP0Ftrna26R; SPGP0Etrna38R; SPGP0Etrna37R; SPGP0Etrna36R; SPGP0Wtrna4R; SPGP0Qtrna12R; SPGP0Ptrna15R; SPGP0Mtrna31R; SPGP0Mtrna30R; SPGP0Btrna1R	DI49_4323	SPGP0Jtrna20R; SPGP0Gtrna34R; SPGP0Gtrna33R; SPGP0Ftrna27R; SPGP0Ztrna25R; SPGP0Ytrna21R; SPGP0Vtrna13R; SPGP0Atrna19R; SPGP0Rtrna17R; SPGP0Ntrna9R; SPGP0Ntrna8R; SPGP0DFtrna3R; SPGP0Ftrna26R; SPGP0Etrna38R; SPGP0Etrna37R; SPGP0Etrna36R; SPGP0Wtrna4R; SPGP0Qtrna12R; SPGP0Ptrna15R; SPGP0Mtrna31R; SPGP0Mtrna30R; SPGP0Btrna1R	
YBR081C; XP_018223120.1	XP_018223120.1		YBR081C
YBR080C; XP_018223119.1	XP_018223119.1		YBR080C
YBR079C; XP_018223118.1	XP_018223118.1		YBR079C
YBR074W; XP_018223114.1	XP_018223114.1		YBR074W
YBR072W; XP_018223112.1	XP_018223112.1		YBR072W
YBR069C; XP_018223109.1	XP_018223109.1		YBR069C
YBR068C; XP_018223108.1; XP_018223617.1	XP_018223108.1; XP_018223617.1		YBR068C
YBR067C; XP_018223107.1	XP_018223107.1		YBR067C
YBR061C; XP_018223103.1	XP_018223103.1		YBR061C
YBR059C; XP_018223100.1	XP_018223100.1		YBR059C
YBR058C; XP_018223098.1	XP_018223098.1		YBR058C
SPGP0Jtrna13Q; DI49_1374; SPGP0Qtrna6Q; SPGP0Vtrna7Q; DI49_2421; SPGP0AHtrna14Q; SPGP0AGtrna18Q; SPGP0Btrna3Q; SPGP0Btrna2Q; SPGP0Btrna1Q; SPGP0Xtrna10Q; SPGP0Vtrna8Q; SPGP0Atrna12Q; SPGP0Atrna11Q; SPGP0Qtrna5Q; SPGP0Otrna9Q; DI49_4357; SPGP0Gtrna17Q	DI49_1374; DI49_2421; DI49_4357	SPGP0Jtrna13Q; SPGP0Qtrna6Q; SPGP0Vtrna7Q; SPGP0AHtrna14Q; SPGP0AGtrna18Q; SPGP0Btrna3Q; SPGP0Btrna2Q; SPGP0Btrna1Q; SPGP0Xtrna10Q; SPGP0Vtrna8Q; SPGP0Atrna12Q; SPGP0Atrna11Q; SPGP0Qtrna5Q; SPGP0Otrna9Q; SPGP0Gtrna17Q	
YBR056W; XP_018223096.1	XP_018223096.1		YBR056W
SPGP0Jtrna19L; DI49_5687; SPGP0Etrna42L; SPGP0AOtrna39L; SPGP0Ctrna12L; SPGP0KOtrna22L; SPGP0Btrna2L; SPGP0Ptrna15L; SPGP0Mtrna32L; SPGP0Ktrna5L; SPGP0Jtrna20L; SPGP0ALtrna37L; SPGP0Btrna1L; SPGP0Ztrna27L	DI49_5687	SPGP0Jtrna19L; SPGP0Etrna42L; SPGP0AOtrna39L; SPGP0Ctrna12L; SPGP0KOtrna22L; SPGP0Btrna2L; SPGP0Ptrna15L; SPGP0Mtrna32L; SPGP0Ktrna5L; SPGP0Jtrna20L; SPGP0ALtrna37L; SPGP0Btrna1L; SPGP0Ztrna27L	
YBR055C; XP_018223095.1	XP_018223095.1		YBR055C
YBR054W; XP_018223094.1	XP_018223094.1		YBR054W
YBR050C; XP_018223091.1	XP_018223091.1		YBR050C
YBR049C; XP_018223090.1	XP_018223090.1		YBR049C
YBR048W; XP_018223599.1; SPGP0I02480; SPGP0A04800	XP_018223599.1	SPGP0I02480; SPGP0A04800	YBR048W
YBR047W; XP_018223088.1	XP_018223088.1		YBR047W
YBR046C; XP_018223087.1	XP_018223087.1		YBR046C
SPGP0Jtrna14V; DI49_1074; SPGP0Atrna13V; SPGP0Btrna1V	DI49_1074	SPGP0Jtrna14V; SPGP0Atrna13V; SPGP0Btrna1V	
YBR043C; XP_018223084.1	XP_018223084.1		YBR043C
YBR042C; XP_018223083.1	XP_018223083.1		YBR042C
YBR041W; XP_018223082.1	XP_018223082.1		YBR041W
YBR039W; XP_018223080.1	XP_018223080.1		YBR039W
YBR038W; XP_018223079.1	XP_018223079.1		YBR038W
YBR037C; XP_018223078.1	XP_018223078.1		YBR037C
YBR036C; XP_018223077.1	XP_018223077.1		YBR036C
SPGP0J02600; XP_018223586.1	XP_018223586.1	SPGP0J02600	
YBR030W; XP_018223585.1	XP_018223585.1		YBR030W
YBR029C; XP_018223584.1	XP_018223584.1		YBR029C
YBR025C; XP_018223581.1	XP_018223581.1		YBR025C
YBR023C; XP_018223579.1	XP_018223579.1		YBR023C
YBR021W; XP_018223577.1	XP_018223577.1		YBR021W
YBR017C; XP_018223573.1	XP_018223573.1		YBR017C
SPGP0Jtrna19T; SPGP0BHtrna30T; SPGP0Dtrna22T; SPGP0RJtrna8T; SPGP0ABtrna28T; SPGP0ABtrna27T; SPGP0Xtrna18T; SPGP0GJtrna5T; SPGP0FPtrna4T; SPGP0Ntrna12T; SPGP0ELtrna10T; SPGP0Ktrna3T; SPGP0Ktrna2T; SPGP0Dtrna23T; DI49_2415; SPGP0Htrna32T; SPGP0ALtrna31T; SPGP0Btrna1T; SPGP0Wtrna6T; SPGP0Strna25T; SPGP0Strna24T; SPGP0Otrna16T; SPGP0Otrna15T; SPGP0Mtrna29T; SPGP0Wtrna7T; SPGP0Otrna14T	DI49_2415	SPGP0Jtrna19T; SPGP0BHtrna30T; SPGP0Dtrna22T; SPGP0RJtrna8T; SPGP0ABtrna28T; SPGP0ABtrna27T; SPGP0Xtrna18T; SPGP0GJtrna5T; SPGP0FPtrna4T; SPGP0Ntrna12T; SPGP0ELtrna10T; SPGP0Ktrna3T; SPGP0Ktrna2T; SPGP0Dtrna23T; SPGP0Htrna32T; SPGP0ALtrna31T; SPGP0Btrna1T; SPGP0Wtrna6T; SPGP0Strna25T; SPGP0Strna24T; SPGP0Otrna16T; SPGP0Otrna15T; SPGP0Mtrna29T; SPGP0Wtrna7T; SPGP0Otrna14T	
YBR012C; SPGP0C04820		SPGP0C04820	YBR012C
YBR011C; XP_018223569.1	XP_018223569.1		YBR011C
YBR010W; XP_018223568.1; YNL031C; XP_018219845.1	XP_018223568.1; XP_018219845.1		YBR010W; YNL031C
YBR006W; XP_018223565.1	XP_018223565.1		YBR006W
YBR003W; XP_018223562.1	XP_018223562.1		YBR003W
YBR001C; XP_018223560.1; YDR001C; XP_018223066.1	XP_018223560.1; XP_018223066.1		YBR001C; YDR001C
YBL002W; XP_018223774.1; XP_018223558.1; YDR224C	XP_018223774.1; XP_018223558.1		YBL002W; YDR224C
YBL003C; YDR225W; XP_018223557.1; XP_018223775.1	XP_018223557.1; XP_018223775.1		YBL003C; YDR225W
YBL004W; XP_018223556.1	XP_018223556.1		YBL004W
SPGP0Jtrna26S; SPGP0AJtrna31S; SPGP0KWtrna25S; SPGP0KCtrna7S; SPGP0Xtrna19S; SPGP0Vtrna15S; SPGP0Atrna23S; SPGP0Atrna22S; SPGP0Atrna20S; SPGP0Rtrna18S; SPGP0Ntrna12S; SPGP0DKtrna38S; SPGP0Utrna27S; DI49_0694; DI49_4419; SPGP0Htrna39S; SPGP0Ftrna34S; SPGP0Etrna40S; SPGP0AItrna24S; SPGP0Btrna3S; SPGP0Wtrna6S; SPGP0Qtrna14S; SPGP0Mtrna37S; SPGP0Ctrna9S; SPGP0Btrna1S	DI49_0694; DI49_4419	SPGP0Jtrna26S; SPGP0AJtrna31S; SPGP0KWtrna25S; SPGP0KCtrna7S; SPGP0Xtrna19S; SPGP0Vtrna15S; SPGP0Atrna23S; SPGP0Atrna22S; SPGP0Atrna20S; SPGP0Rtrna18S; SPGP0Ntrna12S; SPGP0DKtrna38S; SPGP0Utrna27S; SPGP0Htrna39S; SPGP0Ftrna34S; SPGP0Etrna40S; SPGP0AItrna24S; SPGP0Btrna3S; SPGP0Wtrna6S; SPGP0Qtrna14S; SPGP0Mtrna37S; SPGP0Ctrna9S; SPGP0Btrna1S	
YBL007C; XP_018223553.1	XP_018223553.1		YBL007C
YBL009W; XP_018223551.1	XP_018223551.1		YBL009W
YBL010C; XP_018223550.1	XP_018223550.1		YBL010C
YBL013W; XP_018223548.1	XP_018223548.1		YBL013W
SPGP0Jtrna22G; SPGP0Gtrna40G; SPGP0CAtrna37G; SPGP0Ftrna36G; SPGP0Etrna42G; SPGP0BEtrna34G; SPGP0Dtrna32G; SPGP0Dtrna31G; SPGP0ODtrna21G; SPGP0AHtrna27G; SPGP0AGtrna45G; SPGP0AFtrna29G; SPGP0AFtrna28G; SPGP0AEtrna8G; SPGP0AEtrna7G; SPGP0KXtrna23G; SPGP0Btrna2G; SPGP0Btrna1G; SPGP0Ytrna26G; SPGP0Ytrna25G; SPGP0Vtrna14G; SPGP0Atrna20G; SPGP0Atrna19G; SPGP0GEtrna6G; SPGP0Qtrna13G; SPGP0Otrna17G; SPGP0Otrna16G; SPGP0Ntrna12G; SPGP0Ntrna11G; SPGP0Mtrna39G; SPGP0Mtrna38G; SPGP0Ltrna9G; SPGP0Ltrna10G; SPGP0Etrna43G; SPGP0ACtrna35G		SPGP0Jtrna22G; SPGP0Gtrna40G; SPGP0CAtrna37G; SPGP0Ftrna36G; SPGP0Etrna42G; SPGP0BEtrna34G; SPGP0Dtrna32G; SPGP0Dtrna31G; SPGP0ODtrna21G; SPGP0AHtrna27G; SPGP0AGtrna45G; SPGP0AFtrna29G; SPGP0AFtrna28G; SPGP0AEtrna8G; SPGP0AEtrna7G; SPGP0KXtrna23G; SPGP0Btrna2G; SPGP0Btrna1G; SPGP0Ytrna26G; SPGP0Ytrna25G; SPGP0Vtrna14G; SPGP0Atrna20G; SPGP0Atrna19G; SPGP0GEtrna6G; SPGP0Qtrna13G; SPGP0Otrna17G; SPGP0Otrna16G; SPGP0Ntrna12G; SPGP0Ntrna11G; SPGP0Mtrna39G; SPGP0Mtrna38G; SPGP0Ltrna9G; SPGP0Ltrna10G; SPGP0Etrna43G; SPGP0ACtrna35G	
SPGP0Jtrna17I; SPGP0Etrna28I; SPGP0AXtrna20I; SPGP0ATtrna4I; SPGP0AOtrna27I; SPGP0Ctrna10I; SPGP0AMtrna29I; SPGP0Btrna2I; SPGP0Btrna1I; SPGP0ACtrna21I; SPGP0ABtrna23I; SPGP0ABtrna22I; SPGP0Ytrna18I; SPGP0Wtrna8I; SPGP0Wtrna7I; SPGP0Ttrna24I; SPGP0Atrna16I; SPGP0Strna19I; SPGP0Qtrna14I; SPGP0Qtrna13I; SPGP0EUtrna26I; SPGP0Ltrna12I; SPGP0Ktrna6I; SPGP0Ktrna5I; SPGP0Ctrna11I		SPGP0Jtrna17I; SPGP0Etrna28I; SPGP0AXtrna20I; SPGP0ATtrna4I; SPGP0AOtrna27I; SPGP0Ctrna10I; SPGP0AMtrna29I; SPGP0Btrna2I; SPGP0Btrna1I; SPGP0ACtrna21I; SPGP0ABtrna23I; SPGP0ABtrna22I; SPGP0Ytrna18I; SPGP0Wtrna8I; SPGP0Wtrna7I; SPGP0Ttrna24I; SPGP0Atrna16I; SPGP0Strna19I; SPGP0Qtrna14I; SPGP0Qtrna13I; SPGP0EUtrna26I; SPGP0Ltrna12I; SPGP0Ktrna6I; SPGP0Ktrna5I; SPGP0Ctrna11I	
YBL015W; XP_018223546.1	XP_018223546.1		YBL015W
YBL017C; YNR065C			YBL017C; YNR065C
YBL019W; XP_018219838.1	XP_018219838.1		YBL019W
YBL020W; XP_018223542.1	XP_018223542.1		YBL020W
YBL022C; XP_018223540.1	XP_018223540.1		YBL022C
YBL023C; XP_018223539.1	XP_018223539.1		YBL023C
YBL024W; XP_018223538.1	XP_018223538.1		YBL024W
YBL029W; XP_018223532.1	XP_018223532.1		YBL029W
YBL030C; XP_018223530.1	XP_018223530.1		YBL030C
YBL031W; XP_018223529.1	XP_018223529.1		YBL031W
YBL035C; XP_018223525.1	XP_018223525.1		YBL035C
YBL037W; XP_018223523.1	XP_018223523.1		YBL037W
YBL038W; XP_018223522.1	XP_018223522.1		YBL038W
YBL039C; XP_018223521.1	XP_018223521.1		YBL039C
YBL041W; XP_018223518.1	XP_018223518.1		YBL041W
YBL045C; XP_018223514.1	XP_018223514.1		YBL045C
YBL047C; XP_018223512.1	XP_018223512.1		YBL047C
YBL051C; XP_018223509.1	XP_018223509.1		YBL051C
YBL052C; XP_018223508.1	XP_018223508.1		YBL052C
YBL056W; XP_018223506.1; YER089C	XP_018223506.1		YBL056W; YER089C
YBL059C-A; SPGP0B00550		SPGP0B00550	YBL059C-A
YBL061C; XP_018223501.1	XP_018223501.1		YBL061C
YBL063W; XP_018223500.1	XP_018223500.1		YBL063W
YBL064C; XP_018223499.1	XP_018223499.1		YBL064C
YBL066C; XP_018223498.1	XP_018223498.1		YBL066C
YBL068W; XP_018223496.1	XP_018223496.1		YBL068W
YBL072C; YER102W; XP_018223493.1; XP_018222770.1	XP_018223493.1; XP_018222770.1		YBL072C; YER102W
YBL075C; SPGP0B00430		SPGP0B00430	YBL075C
YBL076C; XP_018223491.1	XP_018223491.1		YBL076C
YBL078C; XP_018223490.1	XP_018223490.1		YBL078C
YBL079W; XP_018223489.1	XP_018223489.1		YBL079W
YBL080C; XP_018223488.1	XP_018223488.1		YBL080C
YBL087C; YER117W; XP_018223482.1; XP_018222784.1	XP_018223482.1; XP_018222784.1		YBL087C; YER117W
YBL088C; XP_018223481.1	XP_018223481.1		YBL088C
YBL091C; XP_018223478.1	XP_018223478.1		YBL091C
YBL092W; XP_018223476.1	XP_018223476.1		YBL092W
YBL093C; XP_018223475.1	XP_018223475.1		YBL093C
YBL097W; XP_018223473.1	XP_018223473.1		YBL097W
YBL099W; XP_018223471.1	XP_018223471.1		YBL099W
SPGP0Jtrna15F; SPGP0Gtrna21F; SPGP0MHtrna5F; DI49_2529; SPGP0AEtrna6F; SPGP0Xtrna13F; SPGP0Xtrna12F; SPGP0Rtrna11F; SPGP0Otrna10F; DI49_5486; SPGP0Ltrna7F; DI49_0089; DI49_4130; DI49_1939; SPGP0OVtrna4F; SPGP0ACtrna19F; DI49_2475; SPGP0Ktrna3F; DI49_0495; SPGP0Atrna14F; SPGP0FVtrna16F; DI49_4603	DI49_2529; DI49_5486; DI49_0089; DI49_4130; DI49_1939; DI49_2475; DI49_0495; DI49_4603	SPGP0Jtrna15F; SPGP0Gtrna21F; SPGP0MHtrna5F; SPGP0AEtrna6F; SPGP0Xtrna13F; SPGP0Xtrna12F; SPGP0Rtrna11F; SPGP0Otrna10F; SPGP0Ltrna7F; SPGP0OVtrna4F; SPGP0ACtrna19F; SPGP0Ktrna3F; SPGP0Atrna14F; SPGP0FVtrna16F	
YBL104C; XP_018223467.1	XP_018223467.1		YBL104C
YBL105C; XP_018223466.1	XP_018223466.1		YBL105C
YBL106C; XP_018223465.1	XP_018223465.1		YBL106C
SPGP0DGtrna23A; DI49_5601; SPGP0Gtrna30A; SPGP0Gtrna29A; SPGP0BXtrna21A; SPGP0Ftrna27A; SPGP0Etrna35A; SPGP0Ctrna4A; SPGP0NGtrna33A; SPGP0AFtrna20A; SPGP0ADtrna31A; SPGP0ACtrna25A; SPGP0Ztrna24A; SPGP0Ytrna16A; SPGP0Xtrna13A; SPGP0Ttrna28A; SPGP0Atrna14A; SPGP0Ptrna11A; SPGP0Ptrna10A; SPGP0Otrna12A; SPGP0Ntrna7A; SPGP0Ltrna6A; SPGP0Ltrna5A; SPGP0Ftrna26A	DI49_5601	SPGP0DGtrna23A; SPGP0Gtrna30A; SPGP0Gtrna29A; SPGP0BXtrna21A; SPGP0Ftrna27A; SPGP0Etrna35A; SPGP0Ctrna4A; SPGP0NGtrna33A; SPGP0AFtrna20A; SPGP0ADtrna31A; SPGP0ACtrna25A; SPGP0Ztrna24A; SPGP0Ytrna16A; SPGP0Xtrna13A; SPGP0Ttrna28A; SPGP0Atrna14A; SPGP0Ptrna11A; SPGP0Ptrna10A; SPGP0Otrna12A; SPGP0Ntrna7A; SPGP0Ltrna6A; SPGP0Ltrna5A; SPGP0Ftrna26A	
