Sequence,Best Hit,e-value,Identities,Gaps,Identities_info,Gaps_info
hybrid.SPGP0J00300,parentB.XP_018223302.1,0.0,78,1, Identities = 2963/3820 (78%), Gaps = 49/3820 (1%)
hybrid.SPGP0J00310,parentB.XP_018223301.1,0.0,82,1, Identities = 1305/1587 (82%), Gaps = 12/1587 (1%)
hybrid.SPGP0J00380,parentB.XP_018223294.1,0.0,82,1, Identities = 976/1185 (82%), Gaps = 11/1185 (1%)
hybrid.SPGP0J00390,parentB.XP_018223293.1,0.0,82,0, Identities = 782/959 (82%), Gaps = 2/959 (0%)
hybrid.SPGP0J00410,parentB.XP_018223291.1,0.0,88,0, Identities = 1268/1444 (88%), Gaps = 0/1444 (0%)
hybrid.SPGP0J00440,parentB.XP_018223288.1,0.0,83,1, Identities = 1579/1913 (83%), Gaps = 20/1913 (1%)
hybrid.SPGP0J00480,parentB.XP_018223284.1,3e-144,79,0, Identities = 570/717 (79%), Gaps = 2/717 (0%)
hybrid.SPGP0J00490,parentB.XP_018223283.1,7e-15,89,0, Identities = 56/63 (89%), Gaps = 0/63 (0%)
hybrid.SPGP0J00510,parentB.XP_018223281.1,4e-122,82,1, Identities = 414/502 (82%), Gaps = 6/502 (1%)
hybrid.SPGP0J00560,parentB.XP_018223276.1,0.0,90,0, Identities = 998/1114 (90%), Gaps = 2/1114 (0%)
hybrid.SPGP0J00570,parentB.XP_018223275.1,0.0,82,1, Identities = 1352/1654 (82%), Gaps = 10/1654 (1%)
hybrid.SPGP0J00600,parentB.XP_018223272.1,0.0,84,0, Identities = 2703/3212 (84%), Gaps = 7/3212 (0%)
hybrid.SPGP0J00630,parentB.XP_018223269.1,4e-148,81,1, Identities = 549/681 (81%), Gaps = 6/681 (1%)
hybrid.SPGP0J00640,parentB.XP_018223268.1,0.0,81,1, Identities = 1194/1474 (81%), Gaps = 11/1474 (1%)
hybrid.SPGP0J00650,parentB.XP_018223266.1,0.0,80,2, Identities = 1092/1370 (80%), Gaps = 31/1370 (2%)
hybrid.SPGP0J00660,parentB.XP_018223265.1,0.0,81,1, Identities = 1231/1513 (81%), Gaps = 10/1513 (1%)
hybrid.SPGP0J00670,parentB.XP_018223264.1,0.0,86,0, Identities = 1659/1925 (86%), Gaps = 2/1925 (0%)
hybrid.SPGP0J00680,parentB.XP_018223263.1,0.0,79,1, Identities = 2011/2560 (79%), Gaps = 25/2560 (1%)
hybrid.SPGP0J00700,parentB.XP_018223261.1,0.0,81,1, Identities = 2727/3365 (81%), Gaps = 34/3365 (1%)
hybrid.SPGP0J00710,parentB.XP_018223260.1,0.0,84,1, Identities = 968/1157 (84%), Gaps = 6/1157 (1%)
hybrid.SPGP0J00760,parentB.XP_018223255.1,0.0,78,1, Identities = 2243/2879 (78%), Gaps = 35/2879 (1%)
hybrid.SPGP0J00790,parentB.XP_018223252.1,0.0,77,2, Identities = 2115/2734 (77%), Gaps = 62/2734 (2%)
hybrid.SPGP0J00810,parentB.XP_018223250.1,0.0,82,0, Identities = 1342/1631 (82%), Gaps = 2/1631 (0%)
hybrid.SPGP0J00820,parentB.XP_018223249.1,0.0,87,1, Identities = 954/1101 (87%), Gaps = 6/1101 (1%)
hybrid.SPGP0J00830,parentB.XP_018223248.1,0.0,80,1, Identities = 1342/1687 (80%), Gaps = 11/1687 (1%)
hybrid.SPGP0J00840,parentB.XP_018223247.1,0.0,85,0, Identities = 3010/3540 (85%), Gaps = 6/3540 (0%)
hybrid.SPGP0J00870,parentB.XP_018223244.1,0.0,76,3, Identities = 1327/1740 (76%), Gaps = 54/1740 (3%)
hybrid.SPGP0J00880,parentB.XP_018223243.1,0.0,82,1, Identities = 1304/1591 (82%), Gaps = 11/1591 (1%)
hybrid.SPGP0J00900,parentB.XP_018223241.1,0.0,79,1, Identities = 1387/1754 (79%), Gaps = 22/1754 (1%)
hybrid.SPGP0Jtrna17E,parentB.DI49_5287,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0Jtrna3C,parentB.DI49_5567,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0J00930,parentB.XP_018223238.1,0.0,83,1, Identities = 4586/5535 (83%), Gaps = 49/5535 (1%)
hybrid.SPGP0J00940,parentB.XP_018223237.1,0.0,82,1, Identities = 1144/1400 (82%), Gaps = 19/1400 (1%)
hybrid.SPGP0J00950,parentB.XP_018223236.1,0.0,83,0, Identities = 1006/1213 (83%), Gaps = 4/1213 (0%)
hybrid.SPGP0J00960,parentB.XP_018223235.1,0.0,78,0, Identities = 826/1055 (78%), Gaps = 4/1055 (0%)
hybrid.SPGP0J00980,parentB.XP_018223233.1,0.0,84,0, Identities = 2120/2538 (84%), Gaps = 4/2538 (0%)
hybrid.SPGP0J01010,parentB.XP_018223230.1,0.0,82,1, Identities = 1373/1668 (82%), Gaps = 21/1668 (1%)
hybrid.SPGP0J01030,parentB.XP_018223228.1,0.0,83,1, Identities = 2001/2412 (83%), Gaps = 24/2412 (1%)
hybrid.SPGP0J01050,parentB.XP_018223226.1,0.0,91,0, Identities = 1510/1664 (91%), Gaps = 2/1664 (0%)
hybrid.SPGP0J01090,parentB.XP_018223222.1,0.0,85,0, Identities = 955/1119 (85%), Gaps = 0/1119 (0%)
hybrid.SPGP0J01100,parentB.XP_018223221.1,0.0,96,0, Identities = 426/444 (96%), Gaps = 0/444 (0%)
hybrid.SPGP0J01120,parentB.XP_018218952.1,1e-52,91,2, Identities = 137/150 (91%), Gaps = 3/150 (2%)
hybrid.SPGP0J01140,parentB.XP_018223218.1,0.0,83,1, Identities = 599/725 (83%), Gaps = 4/725 (1%)
hybrid.SPGP0J01180,parentB.XP_018223214.1,0.0,80,1, Identities = 766/952 (80%), Gaps = 8/952 (1%)
hybrid.SPGP0J01200,parentB.XP_018218943.1,0.0,97,0, Identities = 511/525 (97%), Gaps = 0/525 (0%)
hybrid.SPGP0J01220,parentB.XP_018223210.1,0.0,81,1, Identities = 2092/2578 (81%), Gaps = 20/2578 (1%)
hybrid.SPGP0J01270,parentB.XP_018223205.1,0.0,74,4, Identities = 1677/2271 (74%), Gaps = 92/2271 (4%)
hybrid.SPGP0J01280,parentB.XP_018223204.1,0.0,87,1, Identities = 540/621 (87%), Gaps = 5/621 (1%)
hybrid.SPGP0J01290,parentB.XP_018223203.1,0.0,82,0, Identities = 1422/1739 (82%), Gaps = 6/1739 (0%)
hybrid.SPGP0J01300,parentB.XP_018223202.1,0.0,81,1, Identities = 1694/2092 (81%), Gaps = 20/2092 (1%)
hybrid.SPGP0J01330,parentB.XP_018223199.1,0.0,83,1, Identities = 1106/1333 (83%), Gaps = 18/1333 (1%)
hybrid.SPGP0J01350,parentB.XP_018223197.1,5e-166,86,0, Identities = 472/551 (86%), Gaps = 0/551 (0%)
hybrid.SPGP0J01400,parentB.XP_018223192.1,0.0,86,0, Identities = 774/897 (86%), Gaps = 0/897 (0%)
hybrid.SPGP0J01410,parentB.XP_018223191.1,0.0,83,1, Identities = 866/1046 (83%), Gaps = 6/1046 (1%)
hybrid.SPGP0J01420,parentB.XP_018223190.1,0.0,80,1, Identities = 1317/1640 (80%), Gaps = 15/1640 (1%)
hybrid.SPGP0J01450,parentB.XP_018223188.1,0.0,81,1, Identities = 905/1120 (81%), Gaps = 6/1120 (1%)
hybrid.SPGP0J01460,parentB.XP_018223187.1,0.0,89,0, Identities = 576/647 (89%), Gaps = 0/647 (0%)
hybrid.SPGP0J01490,parentB.XP_018223184.1,3e-166,78,1, Identities = 745/957 (78%), Gaps = 12/957 (1%)
hybrid.SPGP0J01510,parentB.XP_018223182.1,0.0,83,0, Identities = 859/1031 (83%), Gaps = 0/1031 (0%)
hybrid.SPGP0J01530,parentB.XP_018223180.1,0.0,81,1, Identities = 754/930 (81%), Gaps = 12/930 (1%)
hybrid.SPGP0J01540,parentB.XP_018223179.1,0.0,85,0, Identities = 713/838 (85%), Gaps = 2/838 (0%)
hybrid.SPGP0J01560,parentB.XP_018223177.1,0.0,87,0, Identities = 1146/1314 (87%), Gaps = 0/1314 (0%)
hybrid.SPGP0J01590,parentB.XP_018223174.1,0.0,81,0, Identities = 4967/6153 (81%), Gaps = 23/6153 (0%)
hybrid.SPGP0J01600,parentB.XP_018223173.1,0.0,82,0, Identities = 1166/1417 (82%), Gaps = 2/1417 (0%)
hybrid.SPGP0J01630,parentB.XP_018223170.1,0.0,82,0, Identities = 5842/7117 (82%), Gaps = 22/7117 (0%)
hybrid.SPGP0J01650,parentB.XP_018223168.1,0.0,80,1, Identities = 1990/2486 (80%), Gaps = 19/2486 (1%)
hybrid.SPGP0J01660,parentB.XP_018223167.1,0.0,82,1, Identities = 1460/1790 (82%), Gaps = 10/1790 (1%)
hybrid.SPGP0J01680,parentB.XP_018223165.1,0.0,78,1, Identities = 997/1271 (78%), Gaps = 10/1271 (1%)
hybrid.SPGP0J01700,parentB.XP_018223163.1,0.0,78,1, Identities = 811/1041 (78%), Gaps = 14/1041 (1%)
hybrid.SPGP0J01710,parentB.XP_018223162.1,0.0,89,0, Identities = 1390/1554 (89%), Gaps = 0/1554 (0%)
hybrid.SPGP0J01720,parentB.XP_018223161.1,0.0,85,0, Identities = 1271/1488 (85%), Gaps = 0/1488 (0%)
hybrid.SPGP0J01730,parentB.XP_018223160.1,0.0,83,0, Identities = 980/1182 (83%), Gaps = 0/1182 (0%)
hybrid.SPGP0J01740,parentB.XP_018223159.1,0.0,84,1, Identities = 598/709 (84%), Gaps = 5/709 (1%)
hybrid.SPGP0J01760,parentB.XP_018223157.1,0.0,87,0, Identities = 1749/2005 (87%), Gaps = 2/2005 (0%)
hybrid.SPGP0J01790,parentB.XP_018219094.1,0.0,96,0, Identities = 1324/1378 (96%), Gaps = 2/1378 (0%)
hybrid.SPGP0J01800,parentB.XP_018219090.1,4e-83,74,3, Identities = 587/792 (74%), Gaps = 21/792 (3%)
hybrid.SPGP0J01810,parentB.XP_018223152.1,0.0,83,0, Identities = 3455/4187 (83%), Gaps = 16/4187 (0%)
hybrid.SPGP0J01820,parentB.XP_018223151.1,0.0,82,1, Identities = 1958/2377 (82%), Gaps = 15/2377 (1%)
hybrid.SPGP0J01830,parentB.XP_018223149.1,0.0,84,2, Identities = 1512/1802 (84%), Gaps = 33/1802 (2%)
hybrid.SPGP0J01900,parentB.XP_018223143.1,0.0,87,0, Identities = 495/567 (87%), Gaps = 0/567 (0%)
hybrid.SPGP0J01920,parentB.XP_018223140.1,0.0,84,1, Identities = 841/996 (84%), Gaps = 12/996 (1%)
hybrid.SPGP0J01940,parentB.XP_018223138.1,0.0,82,1, Identities = 1857/2266 (82%), Gaps = 14/2266 (1%)
hybrid.SPGP0J01970,parentB.XP_018223135.1,0.0,79,1, Identities = 3476/4384 (79%), Gaps = 38/4384 (1%)
hybrid.SPGP0J01990,parentB.XP_018223133.1,0.0,79,2, Identities = 997/1269 (79%), Gaps = 26/1269 (2%)
hybrid.SPGP0J02000,parentB.XP_018223132.1,0.0,82,1, Identities = 1852/2266 (82%), Gaps = 20/2266 (1%)
hybrid.SPGP0J02010,parentB.XP_018219195.1,0.0,83,0, Identities = 1164/1402 (83%), Gaps = 4/1402 (0%)
hybrid.SPGP0J02040,parentB.XP_018223129.1,0.0,88,0, Identities = 680/777 (88%), Gaps = 0/777 (0%)
hybrid.SPGP0J02080,parentB.XP_018223124.1,0.0,84,0, Identities = 777/920 (84%), Gaps = 0/920 (0%)
hybrid.SPGP0J02090,parentB.XP_018223534.1,0.0,96,0, Identities = 546/568 (96%), Gaps = 0/568 (0%)
hybrid.SPGP0J02100,parentB.XP_018223123.1,0.0,84,0, Identities = 2469/2929 (84%), Gaps = 4/2929 (0%)
hybrid.SPGP0J02110,parentB.XP_018223122.1,0.0,79,2, Identities = 1167/1474 (79%), Gaps = 27/1474 (2%)
hybrid.SPGP0J02120,parentB.XP_018223121.1,2e-123,90,0, Identities = 301/333 (90%), Gaps = 0/333 (0%)
hybrid.SPGP0Jtrna16D,parentB.DI49_4675,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0Jtrna20R,parentB.DI49_4020,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0J02130,parentB.XP_018223120.1,0.0,80,1, Identities = 1526/1919 (80%), Gaps = 19/1919 (1%)
hybrid.SPGP0J02140,parentB.XP_018223119.1,0.0,87,0, Identities = 1975/2271 (87%), Gaps = 2/2271 (0%)
hybrid.SPGP0J02150,parentB.XP_018223118.1,0.0,84,1, Identities = 2439/2913 (84%), Gaps = 42/2913 (1%)
hybrid.SPGP0J02160,parentB.XP_018223117.1,1e-132,88,1, Identities = 347/393 (88%), Gaps = 2/393 (1%)
hybrid.SPGP0J02190,parentB.XP_018223114.1,0.0,76,1, Identities = 2239/2949 (76%), Gaps = 36/2949 (1%)
hybrid.SPGP0J02210,parentB.XP_018223112.1,0.0,85,0, Identities = 543/641 (85%), Gaps = 0/641 (0%)
hybrid.SPGP0J02240,parentB.XP_018223109.1,0.0,82,1, Identities = 1528/1867 (82%), Gaps = 17/1867 (1%)
hybrid.SPGP0J02250,parentB.XP_018223108.1,0.0,81,0, Identities = 1481/1831 (81%), Gaps = 6/1831 (0%)
hybrid.SPGP0J02260,parentB.XP_018223107.1,8e-115,79,6, Identities = 498/627 (79%), Gaps = 36/627 (6%)
hybrid.SPGP0J02330,parentB.XP_018223100.1,0.0,80,2, Identities = 2681/3354 (80%), Gaps = 54/3354 (2%)
hybrid.SPGP0J02350,parentB.XP_018223098.1,0.0,79,1, Identities = 1857/2360 (79%), Gaps = 25/2360 (1%)
hybrid.SPGP0Jtrna13Q,parentB.DI49_1374,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0J02370,parentB.XP_018223096.1,0.0,82,1, Identities = 1240/1506 (82%), Gaps = 14/1506 (1%)
hybrid.SPGP0Jtrna19L,parentB.DI49_5687,5e-39,100,0, Identities = 84/84 (100%), Gaps = 0/84 (0%)
hybrid.SPGP0J02380,parentB.XP_018223095.1,0.0,75,1, Identities = 2032/2700 (75%), Gaps = 32/2700 (1%)
hybrid.SPGP0J02390,parentB.XP_018223094.1,0.0,87,1, Identities = 863/997 (87%), Gaps = 10/997 (1%)
hybrid.SPGP0J02420,parentB.XP_018223091.1,3e-81,73,4, Identities = 713/979 (73%), Gaps = 38/979 (4%)
hybrid.SPGP0J02430,parentB.XP_018223090.1,0.0,82,3, Identities = 1721/2094 (82%), Gaps = 57/2094 (3%)
hybrid.SPGP0J02440,parentB.XP_018223089.1,0.0,95,0, Identities = 414/437 (95%), Gaps = 1/437 (0%)
hybrid.SPGP0J02450,parentB.XP_018223088.1,7e-115,81,1, Identities = 415/510 (81%), Gaps = 6/510 (1%)
hybrid.SPGP0J02460,parentB.XP_018223087.1,0.0,78,1, Identities = 781/996 (78%), Gaps = 6/996 (1%)
hybrid.SPGP0Jtrna14V,parentB.DI49_1074,1e-33,100,0, Identities = 74/74 (100%), Gaps = 0/74 (0%)
hybrid.SPGP0J02490,parentB.XP_018223084.1,0.0,81,1, Identities = 1674/2059 (81%), Gaps = 14/2059 (1%)
hybrid.SPGP0J02500,parentB.XP_018223083.1,0.0,81,1, Identities = 971/1197 (81%), Gaps = 6/1197 (1%)
hybrid.SPGP0J02510,parentB.XP_018223082.1,0.0,83,0, Identities = 1676/2011 (83%), Gaps = 6/2011 (0%)
hybrid.SPGP0J02530,parentB.XP_018223080.1,0.0,88,0, Identities = 819/936 (88%), Gaps = 0/936 (0%)
hybrid.SPGP0J02540,parentB.XP_018223079.1,0.0,85,0, Identities = 2449/2893 (85%), Gaps = 8/2893 (0%)
hybrid.SPGP0J02550,parentB.XP_018223078.1,0.0,81,1, Identities = 672/832 (81%), Gaps = 9/832 (1%)
hybrid.SPGP0J02560,parentB.XP_018223077.1,0.0,81,0, Identities = 1006/1236 (81%), Gaps = 6/1236 (0%)
hybrid.SPGP0J02600,parentB.XP_018223586.1,0.0,94,0, Identities = 555/593 (94%), Gaps = 0/593 (0%)
hybrid.SPGP0J02610,parentB.XP_018223585.1,0.0,77,2, Identities = 943/1224 (77%), Gaps = 21/1224 (2%)
hybrid.SPGP0J02620,parentB.XP_018223584.1,0.0,84,0, Identities = 1142/1359 (84%), Gaps = 0/1359 (0%)
hybrid.SPGP0J02650,parentB.XP_018223581.1,0.0,87,0, Identities = 1034/1186 (87%), Gaps = 2/1186 (0%)
hybrid.SPGP0J02670,parentB.XP_018223579.1,0.0,85,0, Identities = 2965/3508 (85%), Gaps = 11/3508 (0%)
hybrid.SPGP0J02690,parentB.XP_018223577.1,0.0,84,0, Identities = 1605/1905 (84%), Gaps = 6/1905 (0%)
hybrid.SPGP0J02730,parentB.XP_018223573.1,0.0,84,0, Identities = 2315/2750 (84%), Gaps = 9/2750 (0%)
hybrid.SPGP0Jtrna19T,parentB.DI49_2415,1e-29,97,0, Identities = 71/73 (97%), Gaps = 0/73 (0%)
hybrid.SPGP0J02780,parentB.XP_018223569.1,0.0,91,0, Identities = 785/866 (91%), Gaps = 4/866 (0%)
hybrid.SPGP0J02790,parentB.XP_018223568.1,5e-180,94,0, Identities = 387/411 (94%), Gaps = 0/411 (0%)
hybrid.SPGP0J02820,parentB.XP_018223565.1,0.0,84,0, Identities = 1253/1495 (84%), Gaps = 4/1495 (0%)
hybrid.SPGP0J02850,parentB.XP_018223562.1,0.0,84,0, Identities = 1196/1422 (84%), Gaps = 2/1422 (0%)
hybrid.SPGP0J02870,parentB.XP_018223560.1,0.0,83,0, Identities = 1934/2343 (83%), Gaps = 4/2343 (0%)
hybrid.SPGP0J02890,parentB.XP_018223558.1,2e-143,90,0, Identities = 355/396 (90%), Gaps = 0/396 (0%)
hybrid.SPGP0J02900,parentB.XP_018223557.1,1e-166,93,0, Identities = 371/399 (93%), Gaps = 0/399 (0%)
hybrid.SPGP0J02910,parentB.XP_018223556.1,0.0,81,1, Identities = 6055/7497 (81%), Gaps = 38/7497 (1%)
hybrid.SPGP0Jtrna26S,parentB.DI49_0694,1e-34,98,0, Identities = 80/82 (98%), Gaps = 0/82 (0%)
hybrid.SPGP0J02940,parentB.XP_018223553.1,2e-103,89,0, Identities = 269/302 (89%), Gaps = 0/302 (0%)
hybrid.SPGP0J02960,parentB.XP_018223551.1,0.0,76,1, Identities = 1533/2025 (76%), Gaps = 28/2025 (1%)
hybrid.SPGP0J02970,parentB.XP_018223550.1,2e-141,81,0, Identities = 505/622 (81%), Gaps = 2/622 (0%)
hybrid.SPGP0J02990,parentB.XP_018223548.1,6e-94,78,4, Identities = 455/584 (78%), Gaps = 23/584 (4%)
hybrid.SPGP0Jtrna22G,parentB.DI49_5603,6e-32,100,0, Identities = 71/71 (100%), Gaps = 0/71 (0%)
hybrid.SPGP0Jtrna17I,parentB.DI49_5614,1e-33,100,0, Identities = 74/74 (100%), Gaps = 0/74 (0%)
hybrid.SPGP0J03010,parentB.XP_018223546.1,0.0,84,0, Identities = 1332/1578 (84%), Gaps = 2/1578 (0%)
hybrid.SPGP0J03050,parentB.XP_018219838.1,0.0,78,2, Identities = 1193/1522 (78%), Gaps = 32/1522 (2%)
hybrid.SPGP0J03060,parentB.XP_018223542.1,0.0,82,1, Identities = 1425/1729 (82%), Gaps = 13/1729 (1%)
hybrid.SPGP0J03080,parentB.XP_018223540.1,0.0,82,1, Identities = 2817/3440 (82%), Gaps = 49/3440 (1%)
hybrid.SPGP0J03090,parentB.XP_018223539.1,0.0,85,0, Identities = 2211/2603 (85%), Gaps = 6/2603 (0%)
hybrid.SPGP0J03100,parentB.XP_018223538.1,0.0,85,0, Identities = 1742/2039 (85%), Gaps = 10/2039 (0%)
hybrid.SPGP0J03150,parentB.XP_018223532.1,0.0,78,4, Identities = 920/1172 (78%), Gaps = 52/1172 (4%)
hybrid.SPGP0J03170,parentB.XP_018223530.1,0.0,90,0, Identities = 857/957 (90%), Gaps = 0/957 (0%)
hybrid.SPGP0J03180,parentB.XP_018223529.1,0.0,79,3, Identities = 818/1032 (79%), Gaps = 33/1032 (3%)
hybrid.SPGP0J03220,parentB.XP_018223525.1,0.0,78,1, Identities = 1671/2130 (78%), Gaps = 27/2130 (1%)
hybrid.SPGP0J03240,parentB.XP_018223523.1,0.0,81,0, Identities = 2498/3081 (81%), Gaps = 10/3081 (0%)
hybrid.SPGP0J03250,parentB.XP_018223522.1,0.0,86,0, Identities = 519/607 (86%), Gaps = 1/607 (0%)
hybrid.SPGP0J03260,parentB.XP_018223521.1,0.0,86,0, Identities = 1505/1740 (86%), Gaps = 0/1740 (0%)
hybrid.SPGP0J03290,parentB.XP_018223518.1,0.0,87,0, Identities = 628/726 (87%), Gaps = 0/726 (0%)
hybrid.SPGP0J03320,parentB.XP_018223514.1,0.0,83,0, Identities = 1135/1374 (83%), Gaps = 0/1374 (0%)
hybrid.SPGP0J03340,parentB.XP_018223512.1,0.0,79,2, Identities = 3284/4160 (79%), Gaps = 79/4160 (2%)
hybrid.SPGP0J03370,parentB.XP_018223509.1,0.0,80,2, Identities = 1024/1281 (80%), Gaps = 31/1281 (2%)
hybrid.SPGP0J03380,parentB.XP_018223508.1,0.0,76,3, Identities = 1555/2035 (76%), Gaps = 52/2035 (3%)
hybrid.SPGP0J03410,parentB.XP_018223506.1,0.0,83,0, Identities = 1166/1405 (83%), Gaps = 3/1405 (0%)
hybrid.SPGP0J03470,parentB.XP_018223501.1,0.0,79,2, Identities = 1470/1855 (79%), Gaps = 38/1855 (2%)
hybrid.SPGP0J03480,parentB.XP_018223500.1,0.0,77,1, Identities = 2545/3290 (77%), Gaps = 47/3290 (1%)
hybrid.SPGP0J03490,parentB.XP_018223499.1,0.0,83,0, Identities = 651/787 (83%), Gaps = 2/787 (0%)
hybrid.SPGP0J03500,parentB.XP_018223498.1,0.0,78,2, Identities = 2721/3492 (78%), Gaps = 66/3492 (2%)
hybrid.SPGP0J03520,parentB.XP_018223496.1,0.0,85,0, Identities = 838/982 (85%), Gaps = 2/982 (0%)
hybrid.SPGP0J03550,parentB.XP_018223493.1,0.0,95,0, Identities = 574/603 (95%), Gaps = 0/603 (0%)
hybrid.SPGP0J03580,parentB.XP_018223491.1,0.0,85,0, Identities = 2748/3221 (85%), Gaps = 4/3221 (0%)
hybrid.SPGP0J03590,parentB.XP_018223490.1,2e-113,87,0, Identities = 309/354 (87%), Gaps = 0/354 (0%)
hybrid.SPGP0J03600,parentB.XP_018223489.1,0.0,82,1, Identities = 3712/4554 (82%), Gaps = 54/4554 (1%)
hybrid.SPGP0J03610,parentB.XP_018223488.1,0.0,79,0, Identities = 1283/1630 (79%), Gaps = 8/1630 (0%)
hybrid.SPGP0J03670,parentB.XP_018222784.1,1e-159,94,0, Identities = 349/372 (94%), Gaps = 0/372 (0%)
hybrid.SPGP0J03680,parentB.XP_018223481.1,0.0,77,2, Identities = 6491/8408 (77%), Gaps = 136/8408 (2%)
hybrid.SPGP0J03710,parentB.XP_018223478.1,0.0,85,0, Identities = 998/1168 (85%), Gaps = 2/1168 (0%)
hybrid.SPGP0J03730,parentB.XP_018223476.1,5e-175,95,0, Identities = 372/393 (95%), Gaps = 0/393 (0%)
hybrid.SPGP0J03740,parentB.XP_018223475.1,0.0,86,1, Identities = 576/670 (86%), Gaps = 8/670 (1%)
hybrid.SPGP0J03760,parentB.XP_018223473.1,0.0,78,2, Identities = 1578/2023 (78%), Gaps = 40/2023 (2%)
hybrid.SPGP0J03780,parentB.XP_018223471.1,0.0,89,0, Identities = 1468/1644 (89%), Gaps = 6/1644 (0%)
hybrid.SPGP0Jtrna15F,parentB.DI49_5486,7e-38,97,1, Identities = 89/92 (97%), Gaps = 1/92 (1%)
hybrid.SPGP0J03820,parentB.XP_018223467.1,0.0,82,0, Identities = 2571/3123 (82%), Gaps = 12/3123 (0%)
hybrid.SPGP0J03830,parentB.XP_018223466.1,0.0,82,0, Identities = 2849/3461 (82%), Gaps = 13/3461 (0%)
hybrid.SPGP0J03840,parentB.XP_018223465.1,0.0,79,1, Identities = 2419/3052 (79%), Gaps = 38/3052 (1%)
hybrid.SPGP0Jtrna20L,parentB.DI49_5687,5e-39,100,0, Identities = 84/84 (100%), Gaps = 0/84 (0%)
hybrid.SPGP0DFtrna2D,parentB.DI49_4675,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0DFtrna3R,parentB.DI49_4020,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0DGtrna23A,parentB.DI49_5601,5e-33,100,0, Identities = 73/73 (100%), Gaps = 0/73 (0%)
hybrid.SPGP0DKtrna34L,parentB.DI49_1927,1e-55,100,0, Identities = 114/114 (100%), Gaps = 0/114 (0%)
hybrid.SPGP0DKtrna38S,parentB.DI49_0694,1e-34,98,0, Identities = 80/82 (98%), Gaps = 0/82 (0%)
hybrid.SPGP0DM00100,parentB.XP_018222488.1,0.0,88,0, Identities = 596/675 (88%), Gaps = 0/675 (0%)
hybrid.SPGP0DN00100,parentB.XP_018220411.1,1e-154,100,0, Identities = 293/293 (100%), Gaps = 0/293 (0%)
