Sequence,Best Hit,e-value
SPGP0Jtrna17E,SPGP0AZtrna22E,3.45e-32
SPGP0Jtrna17E,SPGP0Ctrna4E,3.45e-32
SPGP0Jtrna17E,SPGP0AMtrna31E,3.45e-32
SPGP0Jtrna17E,SPGP0AHtrna18E,3.45e-32
SPGP0Jtrna17E,SPGP0AGtrna30E,3.45e-32
SPGP0Jtrna17E,SPGP0AAtrna20E,3.45e-32
SPGP0Jtrna17E,SPGP0Ztrna21E,3.45e-32
SPGP0Jtrna17E,SPGP0Wtrna3E,3.45e-32
SPGP0Jtrna17E,SPGP0Vtrna11E,3.45e-32
SPGP0Jtrna17E,SPGP0Vtrna10E,3.45e-32
SPGP0Jtrna17E,SPGP0Ttrna24E,3.45e-32
SPGP0Jtrna17E,SPGP0Rtrna14E,3.45e-32
SPGP0Jtrna17E,SPGP0Rtrna13E,3.45e-32
SPGP0Jtrna17E,SPGP0Qtrna9E,3.45e-32
SPGP0Jtrna17E,SPGP0Qtrna8E,3.45e-32
SPGP0Jtrna17E,SPGP0Qtrna7E,3.45e-32
SPGP0Jtrna17E,SPGP0Ptrna12E,3.45e-32
SPGP0Jtrna17E,SPGP0Ntrna6E,3.45e-32
SPGP0Jtrna17E,SPGP0Mtrna25E,3.45e-32
SPGP0Jtrna17E,SPGP0Ltrna5E,3.45e-32
SPGP0Jtrna17E,SPGP0Etrna29E,1.24e-31
SPGP0Jtrna17E,SPGP0Rtrna15E,1.60e-30
SPGP0Jtrna17E,SPGP0Btrna1E,1.62e-25
SPGP0Jtrna17E,SPGP0Wtrna2E,1.62e-25
SPGP0Jtrna17E,SPGP0Atrna16E,7.52e-24
SPGP0Jtrna3C,SPGP0ACtrna7C,3.45e-32
SPGP0Jtrna3C,SPGP0Ytrna4C,3.45e-32
SPGP0Jtrna3C,SPGP0Ltrna1C,3.45e-32
SPGP0Jtrna3C,SPGP0Itrna5C,1.60e-30
SPGP0Jtrna3C,SPGP0Etrna8C,1.60e-30
SPGP0Jtrna3C,SPGP0Ltrna2C,1.60e-30
SPGP0J00930,SPGP0I00960,0.0
SPGP0J00940,SPGP0I00970,0.0
SPGP0J00950,SPGP0I00980,0.0
SPGP0J00960,SPGP0I00990,0.0
SPGP0J00980,SPGP0I01010,0.0
SPGP0J00980,SPGP0AK00630,1.89e-18
SPGP0J01010,SPGP0I01040,0.0
SPGP0J01030,SPGP0I01060,0.0
SPGP0J01050,SPGP0I01080,0.0
SPGP0J01090,SPGP0I01120,0.0
SPGP0J01100,SPGP0I01130,0.0
SPGP0J01100,SPGP0AA01660,0.0
SPGP0J01100,SPGP0L02250,0.0
SPGP0J01120,SPGP0L02260,2.28e-52
SPGP0J01120,SPGP0I01140,1.06e-50
SPGP0J01140,SPGP0I01160,0.0
SPGP0J01180,SPGP0I01200,0.0
SPGP0J01200,SPGP0L02350,0.0
SPGP0J01200,SPGP0AA01560,0.0
SPGP0J01200,SPGP0I01220,0.0
SPGP0J01220,SPGP0I01240,0.0
SPGP0J01270,SPGP0I01290,0.0
SPGP0J01280,SPGP0I01300,0.0
SPGP0J01290,SPGP0I01310,0.0
SPGP0J01300,SPGP0I01320,0.0
SPGP0J01330,SPGP0I01350,0.0
SPGP0J01350,SPGP0I01370,4.90e-169
SPGP0J01400,SPGP0I01420,0.0
SPGP0J01410,SPGP0I01430,0.0
SPGP0J01420,SPGP0I01440,0.0
SPGP0J01440,SPGP0I01460,0.0
SPGP0J01450,SPGP0I01470,0.0
SPGP0J01460,SPGP0I01480,0.0
SPGP0J01490,SPGP0I01510,2.39e-169
SPGP0J01510,SPGP0I01530,0.0
SPGP0J01530,SPGP0I01550,0.0
SPGP0J01540,SPGP0I01560,0.0
SPGP0J01560,SPGP0I01580,0.0
SPGP0J01590,SPGP0I01610,0.0
SPGP0J01600,SPGP0I01620,0.0
SPGP0J01630,SPGP0I01650,0.0
SPGP0J01650,SPGP0I01670,0.0
SPGP0J01660,SPGP0I01680,0.0
SPGP0J01680,SPGP0I01700,0.0
SPGP0J01700,SPGP0I01720,0.0
SPGP0J01710,SPGP0I01730,0.0
SPGP0J01720,SPGP0I01740,0.0
SPGP0J01730,SPGP0I01750,0.0
SPGP0J01740,SPGP0I01760,0.0
SPGP0J01760,SPGP0I01780,0.0
SPGP0J01790,SPGP0AC00660,0.0
SPGP0J01790,SPGP0L00790,0.0
SPGP0J01790,SPGP0I01810,0.0
SPGP0J01800,SPGP0L00830,1.63e-84
SPGP0J01810,SPGP0I01830,0.0
SPGP0J01820,SPGP0I01840,0.0
SPGP0J01830,SPGP0I01850,0.0
SPGP0J01900,SPGP0I01920,0.0
SPGP0J01920,SPGP0I01940,0.0
SPGP0J01940,SPGP0I01960,0.0
SPGP0J01970,SPGP0I01990,0.0
SPGP0J01990,SPGP0I02010,0.0
SPGP0J02000,SPGP0I02020,0.0
SPGP0J02010,SPGP0I02040,0.0
SPGP0J02010,SPGP0I02030,0.0
SPGP0J02010,SPGP0AE01160,0.0
SPGP0J02010,SPGP0BW00100,0.0
SPGP0J02040,SPGP0I02070,0.0
SPGP0J02080,SPGP0I02120,0.0
SPGP0J02090,SPGP0B00880,0.0
SPGP0J02090,SPGP0I02130,0.0
SPGP0J02100,SPGP0I02140,0.0
SPGP0J02100,SPGP0E00890,0.0
SPGP0J02110,SPGP0I02150,0.0
SPGP0J02120,SPGP0I02160,3.31e-51
SPGP0Jtrna16D,SPGP0Itrna18D,3.45e-32
SPGP0Jtrna16D,SPGP0Htrna31D,3.45e-32
SPGP0Jtrna16D,SPGP0Gtrna29D,3.45e-32
SPGP0Jtrna16D,SPGP0Etrna33D,3.45e-32
SPGP0Jtrna16D,SPGP0Etrna32D,3.45e-32
SPGP0Jtrna16D,SPGP0Dtrna19D,3.45e-32
SPGP0Jtrna16D,SPGP0Ctrna7D,3.45e-32
SPGP0Jtrna16D,SPGP0Ctrna6D,3.45e-32
SPGP0Jtrna16D,SPGP0ADtrna30D,3.45e-32
SPGP0Jtrna16D,SPGP0ABtrna23D,3.45e-32
SPGP0Jtrna16D,SPGP0ABtrna22D,3.45e-32
SPGP0Jtrna16D,SPGP0Wtrna5D,3.45e-32
SPGP0Jtrna16D,SPGP0Wtrna4D,3.45e-32
SPGP0Jtrna16D,SPGP0Ttrna24D,3.45e-32
SPGP0Jtrna16D,SPGP0Atrna15D,3.45e-32
SPGP0Jtrna16D,SPGP0Strna20D,3.45e-32
SPGP0Jtrna16D,SPGP0Rtrna14D,3.45e-32
SPGP0Jtrna16D,SPGP0Rtrna13D,3.45e-32
SPGP0Jtrna16D,SPGP0Ptrna12D,3.45e-32
SPGP0Jtrna16D,SPGP0Ntrna11D,3.45e-32
SPGP0Jtrna16D,SPGP0Ntrna10D,3.45e-32
SPGP0Jtrna16D,SPGP0Ntrna9D,3.45e-32
SPGP0Jtrna16D,SPGP0Ntrna8D,3.45e-32
SPGP0Jtrna16D,SPGP0Mtrna28D,3.45e-32
SPGP0Jtrna16D,SPGP0Mtrna27D,3.45e-32
SPGP0Jtrna16D,SPGP0Mtrna26D,3.45e-32
SPGP0Jtrna16D,SPGP0Mtrna25D,3.45e-32
SPGP0Jtrna16D,SPGP0Ktrna3D,3.45e-32
SPGP0Jtrna16D,SPGP0DFtrna2D,3.45e-32
SPGP0Jtrna16D,SPGP0Utrna17D,4.46e-31
SPGP0Jtrna16D,SPGP0Btrna1D,1.60e-30
SPGP0Jtrna16D,SPGP0Ftrna21D,2.08e-29
SPGP0Jtrna20R,SPGP0Gtrna34R,3.45e-32
SPGP0Jtrna20R,SPGP0Gtrna33R,3.45e-32
SPGP0Jtrna20R,SPGP0Ftrna27R,3.45e-32
SPGP0Jtrna20R,SPGP0Ztrna25R,3.45e-32
SPGP0Jtrna20R,SPGP0Ytrna21R,3.45e-32
SPGP0Jtrna20R,SPGP0Vtrna13R,3.45e-32
SPGP0Jtrna20R,SPGP0Atrna19R,3.45e-32
SPGP0Jtrna20R,SPGP0Rtrna17R,3.45e-32
SPGP0Jtrna20R,SPGP0Ntrna9R,3.45e-32
SPGP0Jtrna20R,SPGP0Ntrna8R,3.45e-32
SPGP0Jtrna20R,SPGP0DFtrna3R,3.45e-32
SPGP0Jtrna20R,SPGP0Itrna23R,2.08e-29
SPGP0Jtrna20R,SPGP0Ftrna26R,2.08e-29
SPGP0Jtrna20R,SPGP0Etrna38R,2.08e-29
SPGP0Jtrna20R,SPGP0Etrna37R,2.08e-29
SPGP0Jtrna20R,SPGP0Etrna36R,2.08e-29
SPGP0Jtrna20R,SPGP0Wtrna4R,2.08e-29
SPGP0Jtrna20R,SPGP0Qtrna12R,2.08e-29
SPGP0Jtrna20R,SPGP0Ptrna15R,2.08e-29
SPGP0Jtrna20R,SPGP0Mtrna31R,2.08e-29
SPGP0Jtrna20R,SPGP0Mtrna30R,2.08e-29
SPGP0Jtrna20R,SPGP0Btrna1R,9.66e-28
SPGP0J02130,SPGP0I02170,0.0
SPGP0J02140,SPGP0I02180,0.0
SPGP0J02150,SPGP0I02190,0.0
SPGP0J02190,SPGP0I02230,0.0
SPGP0J02210,SPGP0I02250,0.0
SPGP0J02240,SPGP0I02280,0.0
SPGP0J02250,SPGP0I02290,0.0
SPGP0J02260,SPGP0I02300,1.21e-120
SPGP0J02310,SPGP0I02340,0.0
SPGP0J02330,SPGP0I02370,0.0
SPGP0J02350,SPGP0I02390,0.0
SPGP0Jtrna13Q,SPGP0Itrna15Q,3.45e-32
SPGP0Jtrna13Q,SPGP0Qtrna6Q,3.45e-32
SPGP0Jtrna13Q,SPGP0Vtrna7Q,1.60e-30
SPGP0Jtrna13Q,SPGP0Ctrna4Q,9.66e-28
SPGP0Jtrna13Q,SPGP0AHtrna14Q,9.66e-28
SPGP0Jtrna13Q,SPGP0AGtrna18Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Btrna3Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Btrna2Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Btrna1Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Xtrna10Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Vtrna8Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Atrna12Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Atrna11Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Qtrna5Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Otrna9Q,9.66e-28
SPGP0Jtrna13Q,SPGP0Ftrna16Q,9.73e-23
SPGP0Jtrna13Q,SPGP0Gtrna17Q,4.53e-21
SPGP0J02370,SPGP0I02410,0.0
SPGP0Jtrna19L,SPGP0Itrna24L,9.09e-39
SPGP0Jtrna19L,SPGP0Etrna42L,9.09e-39
SPGP0Jtrna19L,SPGP0AOtrna39L,9.09e-39
SPGP0Jtrna19L,SPGP0Ctrna12L,9.09e-39
SPGP0Jtrna19L,SPGP0KOtrna22L,9.09e-39
SPGP0Jtrna19L,SPGP0Btrna2L,9.09e-39
SPGP0Jtrna19L,SPGP0Ptrna15L,9.09e-39
SPGP0Jtrna19L,SPGP0Mtrna32L,9.09e-39
SPGP0Jtrna19L,SPGP0Ktrna5L,9.09e-39
SPGP0Jtrna19L,SPGP0Jtrna20L,9.09e-39
SPGP0Jtrna19L,SPGP0ALtrna37L,4.23e-37
SPGP0Jtrna19L,SPGP0Btrna1L,4.23e-37
SPGP0Jtrna19L,SPGP0Ztrna27L,4.23e-37
SPGP0J02380,SPGP0I02420,0.0
SPGP0J02390,SPGP0I02430,0.0
SPGP0J02420,SPGP0I02460,1.36e-72
SPGP0J02430,SPGP0I02470,0.0
SPGP0J02440,SPGP0B01520,0.0
SPGP0J02440,SPGP0I02480,2.79e-103
SPGP0J02440,SPGP0A04800,2.79e-103
SPGP0J02450,SPGP0I02490,1.41e-114
SPGP0J02460,SPGP0I02500,0.0
SPGP0Jtrna14V,SPGP0Itrna16V,2.77e-33
SPGP0Jtrna14V,SPGP0Atrna13V,2.77e-33
SPGP0Jtrna14V,SPGP0Btrna1V,1.29e-31
SPGP0J02490,SPGP0I02530,0.0
SPGP0J02500,SPGP0I02540,0.0
SPGP0J02510,SPGP0I02550,0.0
SPGP0J02530,SPGP0I02570,0.0
SPGP0J02540,SPGP0I02580,0.0
SPGP0J02550,SPGP0I02590,0.0
SPGP0J02560,SPGP0I02600,0.0
SPGP0J02600,SPGP0B01390,0.0
SPGP0J02610,SPGP0B01380,1.48e-120
SPGP0J02620,SPGP0B01370,0.0
SPGP0J02650,SPGP0B01340,0.0
SPGP0J02670,SPGP0B01320,0.0
SPGP0J02690,SPGP0B01300,0.0
SPGP0J02730,SPGP0B01260,0.0
SPGP0Jtrna19T,SPGP0BHtrna30T,9.78e-33
SPGP0Jtrna19T,SPGP0Dtrna22T,9.78e-33
SPGP0Jtrna19T,SPGP0RJtrna8T,9.78e-33
SPGP0Jtrna19T,SPGP0ABtrna28T,9.78e-33
SPGP0Jtrna19T,SPGP0ABtrna27T,9.78e-33
SPGP0Jtrna19T,SPGP0Xtrna18T,9.78e-33
SPGP0Jtrna19T,SPGP0GJtrna5T,9.78e-33
SPGP0Jtrna19T,SPGP0FPtrna4T,9.78e-33
SPGP0Jtrna19T,SPGP0Ntrna12T,9.78e-33
SPGP0Jtrna19T,SPGP0ELtrna10T,9.78e-33
SPGP0Jtrna19T,SPGP0Ktrna3T,9.78e-33
SPGP0Jtrna19T,SPGP0Ktrna2T,9.78e-33
SPGP0Jtrna19T,SPGP0Dtrna23T,4.55e-31
SPGP0Jtrna19T,SPGP0Itrna21T,2.12e-29
SPGP0Jtrna19T,SPGP0Htrna32T,2.12e-29
SPGP0Jtrna19T,SPGP0ALtrna31T,2.12e-29
SPGP0Jtrna19T,SPGP0Btrna1T,2.12e-29
SPGP0Jtrna19T,SPGP0Wtrna6T,2.12e-29
SPGP0Jtrna19T,SPGP0Strna25T,2.12e-29
SPGP0Jtrna19T,SPGP0Strna24T,2.12e-29
SPGP0Jtrna19T,SPGP0Otrna16T,2.12e-29
SPGP0Jtrna19T,SPGP0Otrna15T,2.12e-29
SPGP0Jtrna19T,SPGP0Mtrna29T,2.12e-29
SPGP0Jtrna19T,SPGP0Wtrna7T,9.85e-28
SPGP0Jtrna19T,SPGP0Otrna14T,4.58e-26
SPGP0J02770,SPGP0C04820,0.0
SPGP0J02780,SPGP0B01220,0.0
SPGP0J02790,SPGP0B01210,9.86e-180
SPGP0J02790,SPGP0K00970,2.76e-175
SPGP0J02790,SPGP0BB00110,3.57e-174
SPGP0J02820,SPGP0B01180,0.0
SPGP0J02850,SPGP0B01150,0.0
SPGP0J02870,SPGP0B01130,0.0
SPGP0J02870,SPGP0A05010,0.0
SPGP0J02890,SPGP0B03320,1.00e-139
SPGP0J02890,SPGP0B01110,4.67e-138
SPGP0J02890,SPGP0A02990,4.70e-133
SPGP0J02900,SPGP0A02980,2.08e-171
SPGP0J02900,SPGP0B01100,2.10e-166
SPGP0J02900,SPGP0B03330,2.13e-156
SPGP0J02910,SPGP0B01090,0.0
SPGP0Jtrna26S,SPGP0AJtrna31S,1.14e-37
SPGP0Jtrna26S,SPGP0KWtrna25S,1.14e-37
SPGP0Jtrna26S,SPGP0KCtrna7S,1.14e-37
SPGP0Jtrna26S,SPGP0Xtrna19S,1.14e-37
SPGP0Jtrna26S,SPGP0Vtrna15S,1.14e-37
SPGP0Jtrna26S,SPGP0Atrna23S,1.14e-37
SPGP0Jtrna26S,SPGP0Atrna22S,1.14e-37
SPGP0Jtrna26S,SPGP0Atrna20S,1.14e-37
SPGP0Jtrna26S,SPGP0Rtrna18S,1.14e-37
SPGP0Jtrna26S,SPGP0Ntrna12S,1.14e-37
SPGP0Jtrna26S,SPGP0DKtrna38S,1.14e-37
SPGP0Jtrna26S,SPGP0Utrna27S,4.10e-37
SPGP0Jtrna26S,SPGP0AGtrna41S,2.47e-34
SPGP0Jtrna26S,SPGP0Itrna29S,1.15e-32
SPGP0Jtrna26S,SPGP0Htrna39S,1.15e-32
SPGP0Jtrna26S,SPGP0Ftrna34S,1.15e-32
SPGP0Jtrna26S,SPGP0Etrna40S,1.15e-32
SPGP0Jtrna26S,SPGP0AItrna24S,1.15e-32
SPGP0Jtrna26S,SPGP0Btrna3S,1.15e-32
SPGP0Jtrna26S,SPGP0Wtrna6S,1.15e-32
SPGP0Jtrna26S,SPGP0Qtrna14S,1.15e-32
SPGP0Jtrna26S,SPGP0Mtrna37S,1.15e-32
SPGP0Jtrna26S,SPGP0Ctrna9S,5.34e-31
SPGP0Jtrna26S,SPGP0Btrna1S,5.34e-31
SPGP0J02940,SPGP0B01060,4.57e-127
SPGP0J02960,SPGP0B01040,0.0
SPGP0J02970,SPGP0B01030,4.70e-141
SPGP0J02990,SPGP0B01010,1.95e-111
SPGP0Jtrna22G,SPGP0Gtrna40G,1.22e-31
SPGP0Jtrna22G,SPGP0CAtrna37G,1.22e-31
SPGP0Jtrna22G,SPGP0Ftrna36G,1.22e-31
SPGP0Jtrna22G,SPGP0Etrna42G,1.22e-31
SPGP0Jtrna22G,SPGP0BEtrna34G,1.22e-31
SPGP0Jtrna22G,SPGP0Dtrna32G,1.22e-31
SPGP0Jtrna22G,SPGP0Dtrna31G,1.22e-31
SPGP0Jtrna22G,SPGP0ODtrna21G,1.22e-31
SPGP0Jtrna22G,SPGP0AHtrna27G,1.22e-31
SPGP0Jtrna22G,SPGP0AGtrna45G,1.22e-31
SPGP0Jtrna22G,SPGP0AFtrna29G,1.22e-31
SPGP0Jtrna22G,SPGP0AFtrna28G,1.22e-31
SPGP0Jtrna22G,SPGP0AEtrna8G,1.22e-31
SPGP0Jtrna22G,SPGP0AEtrna7G,1.22e-31
SPGP0Jtrna22G,SPGP0KXtrna23G,1.22e-31
SPGP0Jtrna22G,SPGP0Btrna2G,1.22e-31
SPGP0Jtrna22G,SPGP0Btrna1G,1.22e-31
SPGP0Jtrna22G,SPGP0Ytrna26G,1.22e-31
SPGP0Jtrna22G,SPGP0Ytrna25G,1.22e-31
SPGP0Jtrna22G,SPGP0Vtrna14G,1.22e-31
SPGP0Jtrna22G,SPGP0Atrna20G,1.22e-31
SPGP0Jtrna22G,SPGP0Atrna19G,1.22e-31
SPGP0Jtrna22G,SPGP0GEtrna6G,1.22e-31
SPGP0Jtrna22G,SPGP0Qtrna13G,1.22e-31
SPGP0Jtrna22G,SPGP0Otrna17G,1.22e-31
SPGP0Jtrna22G,SPGP0Otrna16G,1.22e-31
SPGP0Jtrna22G,SPGP0Ntrna12G,1.22e-31
SPGP0Jtrna22G,SPGP0Ntrna11G,1.22e-31
SPGP0Jtrna22G,SPGP0Mtrna39G,1.22e-31
SPGP0Jtrna22G,SPGP0Mtrna38G,1.22e-31
SPGP0Jtrna22G,SPGP0Ltrna9G,1.22e-31
SPGP0Jtrna22G,SPGP0Ltrna10G,1.57e-30
SPGP0Jtrna22G,SPGP0Etrna43G,5.66e-30
SPGP0Jtrna22G,SPGP0ACtrna35G,5.66e-30
SPGP0Jtrna17I,SPGP0Etrna28I,2.77e-33
SPGP0Jtrna17I,SPGP0AXtrna20I,2.77e-33
SPGP0Jtrna17I,SPGP0ATtrna4I,2.77e-33
SPGP0Jtrna17I,SPGP0AOtrna27I,2.77e-33
SPGP0Jtrna17I,SPGP0Ctrna10I,2.77e-33
SPGP0Jtrna17I,SPGP0AMtrna29I,2.77e-33
SPGP0Jtrna17I,SPGP0Btrna2I,2.77e-33
SPGP0Jtrna17I,SPGP0Btrna1I,2.77e-33
SPGP0Jtrna17I,SPGP0ACtrna21I,2.77e-33
SPGP0Jtrna17I,SPGP0ABtrna23I,2.77e-33
SPGP0Jtrna17I,SPGP0ABtrna22I,2.77e-33
SPGP0Jtrna17I,SPGP0Ytrna18I,2.77e-33
SPGP0Jtrna17I,SPGP0Wtrna8I,2.77e-33
SPGP0Jtrna17I,SPGP0Wtrna7I,2.77e-33
SPGP0Jtrna17I,SPGP0Ttrna24I,2.77e-33
SPGP0Jtrna17I,SPGP0Atrna16I,2.77e-33
SPGP0Jtrna17I,SPGP0Strna19I,2.77e-33
SPGP0Jtrna17I,SPGP0Qtrna14I,2.77e-33
SPGP0Jtrna17I,SPGP0Qtrna13I,2.77e-33
SPGP0Jtrna17I,SPGP0EUtrna26I,2.77e-33
SPGP0Jtrna17I,SPGP0Ltrna12I,2.77e-33
SPGP0Jtrna17I,SPGP0Ktrna6I,2.77e-33
SPGP0Jtrna17I,SPGP0Ktrna5I,2.77e-33
SPGP0Jtrna17I,SPGP0Ctrna11I,3.58e-32
SPGP0J03010,SPGP0B00990,0.0
SPGP0J03030,SPGP0K00190,0.0
SPGP0J03050,SPGP0S00120,0.0
SPGP0J03060,SPGP0B00960,0.0
SPGP0J03080,SPGP0B00940,0.0
SPGP0J03090,SPGP0B00930,0.0
SPGP0J03100,SPGP0B00920,0.0
SPGP0J03150,SPGP0B00860,0.0
SPGP0J03170,SPGP0B00840,0.0
SPGP0J03180,SPGP0B00830,0.0
SPGP0J03220,SPGP0B00790,0.0
SPGP0J03240,SPGP0B00770,0.0
SPGP0J03250,SPGP0B00760,1.71e-179
SPGP0J03260,SPGP0B00750,0.0
SPGP0J03290,SPGP0B00720,0.0
SPGP0J03320,SPGP0B00680,0.0
SPGP0J03340,SPGP0B00660,0.0
SPGP0J03370,SPGP0B00630,0.0
SPGP0J03380,SPGP0B00620,0.0
SPGP0J03410,SPGP0B00590,0.0
SPGP0J03450,SPGP0B00550,5.52e-97
SPGP0J03470,SPGP0B00530,0.0
SPGP0J03480,SPGP0B00520,0.0
SPGP0J03490,SPGP0B00510,0.0
SPGP0J03500,SPGP0B00500,0.0
SPGP0J03520,SPGP0B00480,0.0
SPGP0J03550,SPGP0V01880,0.0
SPGP0J03550,SPGP0B00450,0.0
SPGP0J03550,SPGP0Q00920,0.0
SPGP0J03570,SPGP0B00430,0.0
SPGP0J03580,SPGP0B00420,0.0
SPGP0J03590,SPGP0B00410,9.22e-115
SPGP0J03600,SPGP0B00400,0.0
SPGP0J03610,SPGP0B00390,0.0
SPGP0J03670,SPGP0V02020,1.03e-167
SPGP0J03670,SPGP0B00320,3.98e-153
SPGP0J03670,SPGP0Q00780,4.01e-148
SPGP0J03680,SPGP0B00310,0.0
SPGP0J03710,SPGP0B00280,0.0
SPGP0J03730,SPGP0B00260,1.25e-174
SPGP0J03740,SPGP0B00250,0.0
SPGP0J03760,SPGP0B00230,0.0
SPGP0J03780,SPGP0B00210,0.0
SPGP0Jtrna15F,SPGP0Gtrna21F,1.31e-37
SPGP0Jtrna15F,SPGP0MHtrna5F,1.33e-37
SPGP0Jtrna15F,SPGP0AFtrna17F,1.33e-37
SPGP0Jtrna15F,SPGP0AEtrna6F,1.33e-37
SPGP0Jtrna15F,SPGP0Xtrna13F,1.33e-37
SPGP0Jtrna15F,SPGP0Xtrna12F,1.33e-37
SPGP0Jtrna15F,SPGP0Rtrna11F,1.33e-37
SPGP0Jtrna15F,SPGP0Otrna10F,1.33e-37
SPGP0Jtrna15F,SPGP0Ltrna8F,1.33e-37
SPGP0Jtrna15F,SPGP0Ltrna7F,1.33e-37
SPGP0Jtrna15F,SPGP0Btrna1F,1.74e-36
SPGP0Jtrna15F,SPGP0Ftrna20F,6.17e-36
SPGP0Jtrna15F,SPGP0Etrna22F,6.17e-36
SPGP0Jtrna15F,SPGP0OVtrna4F,6.08e-36
SPGP0Jtrna15F,SPGP0ACtrna19F,6.17e-36
SPGP0Jtrna15F,SPGP0Otrna9F,6.17e-36
SPGP0Jtrna15F,SPGP0Ktrna3F,6.08e-36
SPGP0Jtrna15F,SPGP0Btrna2F,2.87e-34
SPGP0Jtrna15F,SPGP0Atrna14F,2.87e-34
SPGP0Jtrna15F,SPGP0FVtrna16F,9.30e-34
SPGP0Jtrna15F,SPGP0Strna18F,1.34e-32
SPGP0J03820,SPGP0B00170,0.0
SPGP0J03830,SPGP0B00160,0.0
SPGP0J03840,SPGP0B00150,0.0
SPGP0Jtrna20L,SPGP0Itrna24L,9.09e-39
SPGP0Jtrna20L,SPGP0Etrna42L,9.09e-39
SPGP0Jtrna20L,SPGP0AOtrna39L,9.09e-39
SPGP0Jtrna20L,SPGP0Ctrna12L,9.09e-39
SPGP0Jtrna20L,SPGP0KOtrna22L,9.09e-39
SPGP0Jtrna20L,SPGP0Btrna2L,9.09e-39
SPGP0Jtrna20L,SPGP0Ptrna15L,9.09e-39
SPGP0Jtrna20L,SPGP0Mtrna32L,9.09e-39
SPGP0Jtrna20L,SPGP0Ktrna5L,9.09e-39
SPGP0Jtrna20L,SPGP0ALtrna37L,4.23e-37
SPGP0Jtrna20L,SPGP0Btrna1L,4.23e-37
SPGP0Jtrna20L,SPGP0Ztrna27L,4.23e-37
SPGP0DFtrna2D,SPGP0Itrna18D,3.45e-32
SPGP0DFtrna2D,SPGP0Htrna31D,3.45e-32
SPGP0DFtrna2D,SPGP0Gtrna29D,3.45e-32
